DateTime,AVGPD/A001W,DOMPD/A001W,WVHGT/A001W,WWHGT/A001W,WWPD/A001W,,,,,,,
03/26/2016 1740,5.81,7.14,1.86,0.61,4.2,,,,,,,
03/26/2016 1840,5.86,7.14,1.87,0.77,4.2,,,,,,,
03/26/2016 1940,5.95,7.14,1.75,0.54,4.2,,,,,,,
03/26/2016 2040,6.1,7.14,1.76,0.42,4,,,,,,,
03/26/2016 2140,6.18,7.14,1.76,0.41,3.6,,,,,,,
03/26/2016 2240,6.09,7.69,1.66,0.39,4,,,,,,,
03/26/2016 2340,6.05,7.14,1.62,0.38,4,,,,,,,
03/27/2016 0040,6.14,8.33,1.6,0.39,4,,,,,,,
03/27/2016 0140,5.9,7.14,1.49,0.38,3.8,,,,,,,
03/27/2016 0240,6.09,7.14,1.63,0.37,3.8,,,,,,,
03/27/2016 0340,6.11,6.67,1.69,0.37,3.8,,,,,,,
03/27/2016 0440,6.03,6.67,1.57,0.38,3.7,,,,,,,
03/27/2016 0540,6.19,7.14,1.59,0.38,3.7,,,,,,,
03/27/2016 0640,6.18,6.67,1.53,0.32,3.8,,,,,,,
03/27/2016 0740,6.05,7.69,1.49,0.38,3.7,,,,,,,
03/27/2016 0840,6.16,7.14,1.4,0.34,3.8,,,,,,,
03/27/2016 0940,6.21,8.33,1.38,0.33,3.8,,,,,,,
03/27/2016 1040,6.14,7.14,1.35,0.34,3.8,,,,,,,
03/27/2016 1140,6.16,7.14,1.39,0.39,4,,,,,,,
03/27/2016 1240,6.01,8.33,1.3,0.74,5.9,,,,,,,
03/27/2016 1340,5.77,6.67,1.29,0.57,4.2,,,,,,,
03/27/2016 1440,5.69,7.69,1.23,0.56,4,,,,,,,
03/27/2016 1540,5.91,9.09,1.3,0.45,4.2,,,,,,,
03/27/2016 1640,5.99,9.09,1.37,0.64,5.3,,,,,,,
03/27/2016 1740,5.72,7.14,1.39,0.91,5.9,,,,,,,
03/27/2016 1840,5.76,8.33,1.36,0.76,4.8,,,,,,,
03/27/2016 1940,5.8,6.67,1.46,0.58,4,,,,,,,
03/27/2016 2040,5.67,7.69,1.4,0.45,3.4,,,,,,,
03/27/2016 2140,5.9,8.33,1.46,0.39,3.7,,,,,,,
03/27/2016 2240,6,7.14,1.35,0.39,4,,,,,,,
03/27/2016 2340,6.28,7.69,1.47,0.35,3.7,,,,,,,
03/28/2016 0040,6.26,8.33,1.41,0.34,4,,,,,,,
03/28/2016 0140,6.37,7.69,1.43,0.58,4.8,,,,,,,
03/28/2016 0240,6.22,7.69,1.33,0.54,4,,,,,,,
03/28/2016 0340,6.22,7.14,1.42,0.37,3.4,,,,,,,
03/28/2016 0440,6.07,8.33,1.27,0.35,3.2,,,,,,,
03/28/2016 0540,6.16,8.33,1.33,1.33,8.3,,,,,,,
03/28/2016 0640,5.59,9.09,1.56,1.39,7.7,,,,,,,
03/28/2016 0740,5.52,7.69,1.88,1.88,7.7,,,,,,,
03/28/2016 0840,5.57,6.25,2.15,2.11,6.2,,,,,,,
03/28/2016 0940,5.69,6.25,2.44,2.44,6.2,,,,,,,
03/28/2016 1040,,,,,,,,,,,,
03/28/2016 1140,6.03,7.14,2.83,2.83,7.1,,,,,,,
03/28/2016 1240,6.24,7.14,3.33,3.33,7.1,,,,,,,
03/28/2016 1340,6.49,8.33,3.78,3.77,8.3,,,,,,,
03/28/2016 1440,6.37,7.69,3.58,3.56,7.7,,,,,,,
03/28/2016 1540,6.53,8.33,3.87,2.88,5.3,,,,,,,
03/28/2016 1640,6.61,9.09,3.77,1.8,5.9,,,,,,,
03/28/2016 1740,6.47,9.09,3.57,2.47,5.9,,,,,,,
03/28/2016 1840,6.32,9.09,3.49,2.08,6.2,,,,,,,
03/28/2016 1940,6.41,9.09,3.38,1.97,5.9,,,,,,,
03/28/2016 2040,6.05,9.09,2.93,2.16,5,,,,,,,
03/28/2016 2140,6.37,8.33,3.22,2.8,8.3,,,,,,,
03/28/2016 2240,6.17,8.33,2.85,1.77,6.2,,,,,,,
03/28/2016 2340,5.62,8.33,2.29,1.47,5.9,,,,,,,
03/29/2016 0040,6.1,9.09,2.6,1.66,5.9,,,,,,,
03/29/2016 0140,5.85,8.33,2.35,1.54,6.2,,,,,,,
03/29/2016 0240,5.81,8.33,2.46,1.65,5.6,,,,,,,
03/29/2016 0340,6.02,8.33,2.52,1.83,6.7,,,,,,,
03/29/2016 0440,6.02,8.33,2.78,2.78,8.3,,,,,,,
03/29/2016 0540,5.74,8.33,2.53,1.8,5.6,,,,,,,
03/29/2016 0640,5.94,9.09,2.66,1.8,6.2,,,,,,,
03/29/2016 0740,5.54,8.33,2.4,2.02,5.9,,,,,,,
03/29/2016 0840,5.87,8.33,2.57,2.34,8.3,,,,,,,
03/29/2016 0940,5.85,8.33,2.27,1.75,5.3,,,,,,,
03/29/2016 1040,5.59,8.33,2.12,1.8,5.9,,,,,,,
03/29/2016 1140,5.87,7.69,2.18,1.43,6.2,,,,,,,
03/29/2016 1240,6.03,7.69,2.25,1.6,6.2,,,,,,,
03/29/2016 1340,5.95,7.69,2.12,1.74,7.7,,,,,,,
03/29/2016 1440,6.27,8.33,2.23,1.45,6.7,,,,,,,
03/29/2016 1540,6.01,8.33,2.09,1.43,5.3,,,,,,,
03/29/2016 1640,6.24,8.33,2.15,1.54,5.9,,,,,,,
03/29/2016 1740,6.22,10,2.23,1.43,5.6,,,,,,,
03/29/2016 1840,6,9.09,2.26,1.34,6.7,,,,,,,
03/29/2016 1940,6.11,8.33,2.22,1.45,5.9,,,,,,,
03/29/2016 2040,5.82,8.33,1.94,1.27,6.7,,,,,,,
03/29/2016 2140,5.6,8.33,1.86,1.21,5,,,,,,,
03/29/2016 2240,5.84,8.33,1.82,1.1,5,,,,,,,
03/29/2016 2340,6.14,7.69,1.78,0.89,5.6,,,,,,,
03/30/2016 0040,5.64,8.33,1.54,0.9,6.2,,,,,,,
03/30/2016 0140,5.82,8.33,1.69,0.96,5.9,,,,,,,
03/30/2016 0240,6.01,10,1.86,0.86,4.5,,,,,,,
03/30/2016 0340,5.79,7.69,1.88,0.98,5.3,,,,,,,
03/30/2016 0440,5.55,9.09,1.75,0.99,5.9,,,,,,,
03/30/2016 0540,5.82,9.09,1.99,1.22,4.2,,,,,,,
03/30/2016 0640,5.88,10,1.99,1.24,6.7,,,,,,,
03/30/2016 0740,5.6,10,1.77,1.09,6.2,,,,,,,
03/30/2016 0840,5.64,9.09,1.74,1.13,4.8,,,,,,,
03/30/2016 0940,5.85,8.33,2,1.23,3.8,,,,,,,
03/30/2016 1040,5.79,7.69,1.87,1.25,4.8,,,,,,,
03/30/2016 1140,5.71,9.09,1.87,1.22,5.3,,,,,,,
03/30/2016 1240,5.9,9.09,1.76,1.04,4.8,,,,,,,
03/30/2016 1340,5.87,8.33,1.79,0.94,6.2,,,,,,,
03/30/2016 1440,5.93,9.09,1.65,0.82,4.5,,,,,,,
03/30/2016 1540,6.1,9.09,1.57,0.68,4.8,,,,,,,
03/30/2016 1640,6.48,9.09,1.62,0.63,5.3,,,,,,,
03/30/2016 1740,6.43,9.09,1.57,0.52,4.2,,,,,,,
03/30/2016 1840,6.62,9.09,1.57,0.5,4.5,,,,,,,
03/30/2016 1940,6.74,8.33,1.46,0.48,4.5,,,,,,,
03/30/2016 2040,6.76,9.09,1.58,0.48,4,,,,,,,
03/30/2016 2140,6.68,9.09,1.47,0.56,4.2,,,,,,,
03/30/2016 2240,6.67,9.09,1.49,0.61,4.8,,,,,,,
03/30/2016 2340,6.58,9.09,1.42,0.36,4.2,,,,,,,
03/31/2016 0040,6.52,10,1.46,0.83,4.3,,,,,,,
03/31/2016 0140,6.28,10,1.22,0.76,5.9,,,,,,,
03/31/2016 0240,6.39,9.09,1.37,1.27,9.1,,,,,,,
03/31/2016 0340,5.95,6.25,1.27,0.98,6.2,,,,,,,
03/31/2016 0440,6.06,5.88,1.35,0.99,5.9,,,,,,,
03/31/2016 0540,6.13,6.25,1.43,1.12,6.2,,,,,,,
03/31/2016 0640,5.81,5.88,1.33,1.2,5.9,,,,,,,
03/31/2016 0740,5.76,6.25,1.4,1.28,6.2,,,,,,,
03/31/2016 0840,5.62,6.67,1.47,1.37,6.7,,,,,,,
03/31/2016 0940,5.71,7.14,1.47,1.33,7.1,,,,,,,
03/31/2016 1040,5.76,7.69,1.63,1.47,7.7,,,,,,,
03/31/2016 1140,5.77,5.88,1.47,1.22,5.9,,,,,,,
03/31/2016 1240,5.89,7.69,1.51,1.22,6.7,,,,,,,
03/31/2016 1340,5.75,6.67,1.63,1.46,6.7,,,,,,,
03/31/2016 1440,5.62,6.67,1.56,1.46,6.7,,,,,,,
03/31/2016 1540,5.67,6.25,1.62,1.57,6.2,,,,,,,
03/31/2016 1640,5.83,6.25,1.71,1.65,6.2,,,,,,,
03/31/2016 1740,5.74,5.88,1.73,1.7,5.9,,,,,,,
03/31/2016 1840,5.92,6.67,1.89,1.89,6.7,,,,,,,
03/31/2016 1940,5.94,6.67,1.97,1.94,6.7,,,,,,,
03/31/2016 2040,5.93,6.67,1.88,1.86,6.7,,,,,,,
03/31/2016 2140,6.08,7.14,2.01,2.01,7.1,,,,,,,
03/31/2016 2240,6.21,7.14,2.22,2.22,7.1,,,,,,,
03/31/2016 2340,6.11,7.14,2.09,2.08,7.1,,,,,,,
04/01/2016 0040,6.41,7.14,2.47,2.46,7.1,,,,,,,
04/01/2016 0140,6.23,7.69,2.42,2.41,7.7,,,,,,,
04/01/2016 0240,6.37,7.69,2.63,2.63,7.7,,,,,,,
04/01/2016 0340,6.14,7.69,2.58,2.57,7.7,,,,,,,
04/01/2016 0440,6.31,7.69,2.51,2.5,7.7,,,,,,,
04/01/2016 0540,6.25,7.69,2.56,2.56,7.7,,,,,,,
04/01/2016 0640,6.42,7.69,2.64,2.64,7.7,,,,,,,
04/01/2016 0740,,,,,,,,,,,,
04/01/2016 0840,6.24,7.69,2.4,2.4,7.7,,,,,,,
04/01/2016 0940,,,,,,,,,,,,
04/01/2016 1040,6.3,7.69,2.35,2.16,7.7,,,,,,,
04/01/2016 1140,6.27,8.33,2.39,2.39,8.3,,,,,,,
04/01/2016 1240,6.27,7.69,2.48,2.48,7.7,,,,,,,
04/01/2016 1340,6.23,7.69,2.3,2.29,7.7,,,,,,,
04/01/2016 1440,6.21,7.69,2.28,2.24,7.7,,,,,,,
04/01/2016 1540,6.17,7.69,2.38,2.35,7.7,,,,,,,
04/01/2016 1640,6.2,7.14,2.34,2.27,7.1,,,,,,,
04/01/2016 1740,6.11,7.69,2.31,2.29,7.7,,,,,,,
04/01/2016 1840,6.17,7.69,2.47,2.47,7.7,,,,,,,
04/01/2016 1940,6.31,8.33,2.54,2.51,8.3,,,,,,,
04/01/2016 2040,6.03,7.14,2.31,2.29,7.1,,,,,,,
04/01/2016 2140,6.36,7.69,2.78,2.78,7.7,,,,,,,
04/01/2016 2240,6.27,8.33,2.69,2.69,8.3,,,,,,,
04/01/2016 2340,6.11,7.69,2.44,2.44,7.7,,,,,,,
04/02/2016 0040,6.2,7.14,2.53,2.53,7.1,,,,,,,
04/02/2016 0140,6.22,7.14,2.57,2.57,7.1,,,,,,,
04/02/2016 0240,6.28,7.14,2.62,2.62,7.1,,,,,,,
04/02/2016 0340,6.36,7.14,2.75,2.75,7.1,,,,,,,
04/02/2016 0440,6.49,8.33,2.71,2.7,8.3,,,,,,,
04/02/2016 0540,6.36,7.69,2.65,2.65,7.7,,,,,,,
04/02/2016 0640,6.59,7.69,3.06,3.06,7.7,,,,,,,
04/02/2016 0740,6.44,7.69,2.86,2.82,7.7,,,,,,,
04/02/2016 0840,6.31,7.69,2.7,2.7,7.7,,,,,,,
04/02/2016 0940,6.43,7.69,2.76,2.74,7.7,,,,,,,
04/02/2016 1040,6.32,7.69,2.72,2.72,7.7,,,,,,,
04/02/2016 1140,6.19,7.69,2.6,2.59,7.7,,,,,,,
04/02/2016 1240,6.04,7.69,2.43,2.43,7.7,,,,,,,
04/02/2016 1340,6.31,7.69,2.76,2.75,7.7,,,,,,,
04/02/2016 1440,6.19,7.69,2.63,2.63,7.7,,,,,,,
04/02/2016 1540,5.95,7.69,2.41,2.4,7.7,,,,,,,
04/02/2016 1640,6.42,7.69,2.93,2.93,7.7,,,,,,,
04/02/2016 1740,6.49,7.14,3.24,3.24,7.1,,,,,,,
04/02/2016 1840,6.48,8.33,3.29,3.29,8.3,,,,,,,
04/02/2016 1940,6.39,8.33,3.07,3.06,8.3,,,,,,,
04/02/2016 2040,7.17,8.33,4.18,4.18,8.3,,,,,,,
04/02/2016 2140,7.35,9.09,4.45,4.45,9.1,,,,,,,
04/02/2016 2240,7.38,9.09,4.64,4.63,9.1,,,,,,,
04/02/2016 2340,7.32,9.09,4.46,2.29,6.7,,,,,,,
04/03/2016 0040,7.77,10,4.71,4.71,10,,,,,,,
04/03/2016 0140,7.69,10,4.37,4.37,10,,,,,,,
04/03/2016 0240,,,,,,,,,,,,
04/03/2016 0340,,,,,,,,,,,,
04/03/2016 0440,7.64,10,3.8,2.05,7.7,,,,,,,
04/03/2016 0540,,,,,,,,,,,,
04/03/2016 0640,,,,,,,,,,,,
04/03/2016 0740,7.3,10,4.26,2.3,6.7,,,,,,,
04/03/2016 0840,7.35,10,4.62,2.94,7.1,,,,,,,
04/03/2016 0940,7.53,10,4.96,2.98,6.7,,,,,,,
04/03/2016 1040,7.07,9.09,4.22,4.22,9.1,,,,,,,
04/03/2016 1140,7.18,10,4.39,2.97,8.3,,,,,,,
04/03/2016 1240,7.24,10,4.64,3.38,6.7,,,,,,,
04/03/2016 1340,7.68,10.81,4.99,2.59,7.7,,,,,,,
04/03/2016 1440,7.51,9.09,5.42,3.28,5,,,,,,,
04/03/2016 1540,7.01,10.81,4.35,3.15,7.1,,,,,,,
04/03/2016 1640,7.28,10,4.38,2.29,7.1,,,,,,,
04/03/2016 1740,7.31,10.81,4.31,2.35,6.2,,,,,,,
04/03/2016 1840,7.29,9.09,4.1,1.94,6.2,,,,,,,
04/03/2016 1940,7.13,10,4.11,2.36,5.9,,,,,,,
04/03/2016 2040,6.93,9.09,3.59,1.8,6.7,,,,,,,
04/03/2016 2140,7.06,10.81,3.34,1.7,5.9,,,,,,,
04/03/2016 2240,6.88,10.81,3.05,1.61,5.6,,,,,,,
04/03/2016 2340,7.04,10,3,1.13,5.9,,,,,,,
04/04/2016 0040,7.24,10,3.14,1.1,5,,,,,,,
04/04/2016 0140,7.17,9.09,3,0.91,5.3,,,,,,,
04/04/2016 0240,6.87,10,2.54,0.78,4.5,,,,,,,
04/04/2016 0340,6.79,9.09,2.35,0.56,4.2,,,,,,,
04/04/2016 0440,6.78,8.33,2.29,0.49,3.4,,,,,,,
04/04/2016 0540,6.56,9.09,2.13,0.47,4,,,,,,,
04/04/2016 0640,6.87,9.09,2.1,0.42,3.1,,,,,,,
04/04/2016 0740,6.49,8.33,1.88,0.39,3.8,,,,,,,
04/04/2016 0840,6.79,8.33,1.83,0.37,4,,,,,,,
04/04/2016 0940,6.71,8.33,1.72,0.33,3.4,,,,,,,
04/04/2016 1040,6.42,8.33,1.48,0.34,3.8,,,,,,,
04/04/2016 1140,6.86,10,1.6,0.32,3.7,,,,,,,
04/04/2016 1240,6.92,8.33,1.54,0.29,3.8,,,,,,,
04/04/2016 1340,6.94,8.33,1.5,0.27,3.3,,,,,,,
04/04/2016 1440,6.98,8.33,1.41,0.29,4.2,,,,,,,
04/04/2016 1540,7.07,7.69,1.28,0.5,5.9,,,,,,,
04/04/2016 1640,6.94,8.33,1.34,0.42,4.8,,,,,,,
04/04/2016 1740,6.92,9.09,1.29,0.39,4.5,,,,,,,
04/04/2016 1840,6.62,8.33,1.29,0.57,5.9,,,,,,,
04/04/2016 1940,6.71,8.33,1.33,0.72,6.7,,,,,,,
04/04/2016 2040,6.13,8.33,1.24,1,6.7,,,,,,,
04/04/2016 2140,,,,,,,,,,,,
04/04/2016 2240,5.96,9.09,1.38,1.06,6.7,,,,,,,
04/04/2016 2340,5.93,8.33,1.34,0.96,5,,,,,,,
04/05/2016 0040,5.79,7.69,1.37,1.07,5,,,,,,,
04/05/2016 0140,5.51,7.69,1.38,1.16,7.7,,,,,,,
04/05/2016 0240,5.53,9.09,1.4,1.15,7.7,,,,,,,
04/05/2016 0340,5.22,7.69,1.54,1.35,7.7,,,,,,,
04/05/2016 0440,5.73,8.33,1.56,1.25,5.9,,,,,,,
04/05/2016 0540,5.72,9.09,1.59,1.3,5.6,,,,,,,
04/05/2016 0640,5.41,9.09,1.69,1.49,5.6,,,,,,,
04/05/2016 0740,5.38,8.33,1.87,1.73,8.3,,,,,,,
04/05/2016 0840,5.44,9.09,1.85,1.67,5.3,,,,,,,
04/05/2016 0940,5.46,5.56,1.89,1.71,5.6,,,,,,,
04/05/2016 1040,5.6,8.33,2.06,2.06,8.3,,,,,,,
04/05/2016 1140,5.62,5.88,2.16,2.08,5.9,,,,,,,
04/05/2016 1240,5.7,6.67,2.01,1.93,6.7,,,,,,,
04/05/2016 1340,5.69,6.25,1.92,1.92,6.2,,,,,,,
04/05/2016 1440,,,,,,,,,,,,
04/05/2016 1540,,,,,,,,,,,,
04/05/2016 1640,,,,,,,,,,,,
04/05/2016 1740,,,,,,,,,,,,
04/05/2016 1840,6.62,8.33,4.38,4.34,8.3,,,,,,,
04/05/2016 1940,6.87,10,4.31,4.31,10,,,,,,,
04/05/2016 2040,6.94,9.09,4.14,2.84,7.7,,,,,,,
04/05/2016 2140,6.43,10,3.59,2.98,8.3,,,,,,,
04/05/2016 2240,6.42,10,3.48,2.61,8.3,,,,,,,
04/05/2016 2340,6.49,10.81,3.69,2.95,8.3,,,,,,,
04/06/2016 0040,6.84,10,4.03,2.99,7.7,,,,,,,
04/06/2016 0140,6.88,11.43,4.09,2.81,7.1,,,,,,,
04/06/2016 0240,6.85,10.81,3.93,2.93,7.1,,,,,,,
04/06/2016 0340,7.04,11.43,3.53,2.4,6.7,,,,,,,
04/06/2016 0440,,,,,,,,,,,,
04/06/2016 0540,,,,,,,,,,,,
04/06/2016 0640,,,,,,,,,,,,
04/06/2016 0740,6.95,11.43,3.22,2.26,7.7,,,,,,,
04/06/2016 0840,6.89,10.81,3.01,2.08,7.1,,,,,,,
04/06/2016 0940,7.03,10.81,3.04,1.95,6.7,,,,,,,
04/06/2016 1040,,,,,,,,,,,,
04/06/2016 1140,7.41,11.43,2.98,1.69,7.7,,,,,,,
04/06/2016 1240,7.09,10.81,2.71,1.24,6.2,,,,,,,
04/06/2016 1340,7.47,10.81,2.75,1.2,6.2,,,,,,,
04/06/2016 1440,7.35,10.81,2.56,1.02,4.8,,,,,,,
04/06/2016 1540,7.66,11.43,2.68,0.74,4.8,,,,,,,
04/06/2016 1640,7.44,10,2.46,0.51,4.2,,,,,,,
04/06/2016 1740,7.72,11.43,2.48,0.46,4,,,,,,,
04/06/2016 1840,7.63,11.43,2.5,0.44,3.7,,,,,,,
04/06/2016 1940,,,,,,,,,,,,
04/06/2016 2040,7.77,10.81,2.3,0.47,3.7,,,,,,,
04/06/2016 2140,7.89,10,2.46,0.89,5.9,,,,,,,
04/06/2016 2240,7.92,10,2.44,1,5.9,,,,,,,
04/06/2016 2340,7.83,10.81,2.24,1.05,5.3,,,,,,,
04/07/2016 0040,7.89,11.43,2.49,1.24,6.7,,,,,,,
04/07/2016 0140,8.08,11.43,2.41,1.51,6.2,,,,,,,
04/07/2016 0240,7.82,10.81,2.43,1.24,6.2,,,,,,,
04/07/2016 0340,7.33,10,2.17,1.33,6.7,,,,,,,
04/07/2016 0440,7.5,11.43,2.25,1.25,6.2,,,,,,,
04/07/2016 0540,6.86,9.09,2.02,1.66,9.1,,,,,,,
04/07/2016 0640,6.94,10.81,2.37,2.05,6.2,,,,,,,
04/07/2016 0740,7.04,11.43,2.18,1.63,7.1,,,,,,,
04/07/2016 0840,6.84,12.12,2.1,1.85,6.2,,,,,,,
04/07/2016 0940,6.44,6.25,2.01,1.84,6.2,,,,,,,
04/07/2016 1040,6.88,11.43,2.3,1.97,6.7,,,,,,,
04/07/2016 1140,6.63,6.67,2.4,2.25,6.7,,,,,,,
04/07/2016 1240,6.78,7.14,2.72,2.72,7.1,,,,,,,
04/07/2016 1340,6.82,7.14,2.93,2.93,7.1,,,,,,,
04/07/2016 1440,7.08,7.69,2.98,2.98,7.7,,,,,,,
04/07/2016 1540,6.89,8.33,3.09,3.09,8.3,,,,,,,
04/07/2016 1640,7.24,8.33,3.61,3.61,8.3,,,,,,,
04/07/2016 1740,7.22,7.69,3.52,3.52,7.7,,,,,,,
04/07/2016 1840,7.17,8.33,3.59,3.59,8.3,,,,,,,
04/07/2016 1940,7.49,9.09,3.95,3.95,9.1,,,,,,,
04/07/2016 2040,7.69,10,4.11,4.1,10,,,,,,,
04/07/2016 2140,8,9.09,4.57,4.57,9.1,,,,,,,
04/07/2016 2240,7.85,9.09,4.14,4.14,9.1,,,,,,,
04/07/2016 2340,8.11,9.09,4.74,4.74,9.1,,,,,,,
04/08/2016 0040,7.81,9.09,4.12,4.12,9.1,,,,,,,
04/08/2016 0140,,,,,,,,,,,,
04/08/2016 0240,,,,,,,,,,,,
04/08/2016 0340,,,,,,,,,,,,
04/08/2016 0440,,,,,,,,,,,,
04/08/2016 0540,7.34,10,3.81,3.08,6.2,,,,,,,
04/08/2016 0640,,,,,,,,,,,,
04/08/2016 0740,,,,,,,,,,,,
04/08/2016 0840,,,,,,,,,,,,
04/08/2016 0940,,,,,,,,,,,,
04/08/2016 1040,7.22,10,3.65,2.48,6.7,,,,,,,
04/08/2016 1140,7.24,9.09,3.78,2.75,7.1,,,,,,,
04/08/2016 1240,6.98,10,3.36,1.91,7.1,,,,,,,
04/08/2016 1340,7.18,9.09,3.33,1.64,5.3,,,,,,,
04/08/2016 1440,7.29,9.09,3.25,1.98,5.3,,,,,,,
04/08/2016 1540,7.09,9.09,3.08,3.06,9.1,,,,,,,
04/08/2016 1640,6.99,9.09,3.22,1.7,4,,,,,,,
04/08/2016 1740,6.72,9.09,2.74,1.76,6.7,,,,,,,
04/08/2016 1840,6.42,9.09,2.64,1.97,7.1,,,,,,,
04/08/2016 1940,6.28,8.33,2.47,1.56,5.9,,,,,,,
04/08/2016 2040,6.26,8.33,2.58,2.58,8.3,,,,,,,
04/08/2016 2140,,,,,,,,,,,,
04/08/2016 2240,,,,,,,,,,,,
04/08/2016 2340,5.95,8.33,2.13,1.29,5.9,,,,,,,
04/09/2016 0040,5.72,8.33,1.87,1.21,6.2,,,,,,,
04/09/2016 0140,5.79,7.69,2.04,1.22,5.9,,,,,,,
04/09/2016 0240,5.92,8.33,2.15,1.32,5.3,,,,,,,
04/09/2016 0340,6.35,8.33,2.22,0.7,4.5,,,,,,,
04/09/2016 0440,6.13,7.69,2.08,0.56,3.8,,,,,,,
04/09/2016 0540,6.06,8.33,1.87,0.53,3.8,,,,,,,
04/09/2016 0640,5.99,8.33,1.83,0.51,3.7,,,,,,,
04/09/2016 0740,6.21,7.14,1.82,0.48,4,,,,,,,
04/09/2016 0840,6.51,7.69,1.9,0.58,4.5,,,,,,,
04/09/2016 0940,6.67,7.14,1.7,0.52,4.3,,,,,,,
04/09/2016 1040,6.6,7.69,1.66,1.15,5.9,,,,,,,
04/09/2016 1140,6.51,7.14,1.89,1.89,7.1,,,,,,,
04/09/2016 1240,6.21,8.33,1.8,1.23,5.9,,,,,,,
04/09/2016 1340,5.98,7.14,1.6,1.18,7.1,,,,,,,
04/09/2016 1440,5.4,7.14,1.69,1.16,5.9,,,,,,,
04/09/2016 1540,5.35,6.67,2.04,1.85,6.7,,,,,,,
