DateTime,AVGPD/A048W,DOMPD/A048W,WVHGT/A048W,WWHGT/A048W,WWPD/A048W,,,,,,,,
11/16/2018 0340,6.62,9.09,3.67,3.67,9.1,,,,,,,,
11/16/2018 0440,7.07,8.33,4.25,4.25,8.3,,,,,,,,
11/16/2018 0540,6.92,8.33,3.98,3.98,8.3,,,,,,,,
11/16/2018 0640,7.24,8.33,4.45,4.45,8.3,,,,,,,,
11/16/2018 0740,6.91,9.09,4.12,3.85,9.1,,,,,,,,
11/16/2018 0840,7.19,9.09,4.43,4.41,9.1,,,,,,,,
11/16/2018 0940,7.32,9.09,4.54,4.54,9.1,,,,,,,,
11/16/2018 1040,7.47,9.09,5.1,5.1,9.1,,,,,,,,
11/16/2018 1140,7.45,9.09,4.87,4.87,9.1,,,,,,,,
11/16/2018 1240,6.99,8.33,4.26,4.21,8.3,,,,,,,,
11/16/2018 1340,7.14,9.09,4.63,4.63,9.1,,,,,,,,
11/16/2018 1440,7.53,10,4.85,4.85,10,,,,,,,,
11/16/2018 1540,7.05,8.33,4.31,4.31,8.3,,,,,,,,
11/16/2018 1640,7.63,10,4.71,4.71,10,,,,,,,,
11/16/2018 1740,7.71,10,5,3.87,6.7,,,,,,,,
11/16/2018 1840,8.07,10,5.31,5.31,10,,,,,,,,
11/16/2018 1940,7.68,10.81,4.7,4.04,7.7,,,,,,,,
11/16/2018 2040,8.23,11.43,5.33,4.62,8.3,,,,,,,,
11/16/2018 2140,8.02,10.81,5.02,4.16,6.2,,,,,,,,
11/16/2018 2240,8.03,10.81,4.88,3.42,6.7,,,,,,,,
11/16/2018 2340,7.89,10.81,4.91,4.11,8.3,,,,,,,,
11/17/2018 0040,7.69,10.81,4.41,2.65,5.9,,,,,,,,
11/17/2018 0140,7.8,10,4.74,3.37,6.2,,,,,,,,
11/17/2018 0240,7.53,10.81,4.2,3.24,9.1,,,,,,,,
11/17/2018 0340,7.37,10.81,4.18,3.17,5.3,,,,,,,,
11/17/2018 0440,7.46,10,4.18,2.6,5.9,,,,,,,,
11/17/2018 0540,7.07,9.09,3.76,3.76,9.1,,,,,,,,
11/17/2018 0640,7.31,10,3.92,2.6,5.3,,,,,,,,
11/17/2018 0740,7.22,10,3.87,2.6,6.2,,,,,,,,
11/17/2018 0840,6.95,9.09,3.51,3.08,9.1,,,,,,,,
11/17/2018 0940,6.99,9.09,3.6,3.6,9.1,,,,,,,,
11/17/2018 1040,7.39,10,3.87,2.67,6.7,,,,,,,,
11/17/2018 1140,6.81,9.09,3.17,2.08,7.1,,,,,,,,
11/17/2018 1240,7.15,9.09,3.53,1.66,5.9,,,,,,,,
11/17/2018 1340,6.72,8.33,2.87,1.3,5.6,,,,,,,,
11/17/2018 1440,6.71,8.33,2.95,2.08,5.9,,,,,,,,
11/17/2018 1540,6.8,9.09,3.18,1.34,5.9,,,,,,,,
11/17/2018 1640,6.72,8.33,3.03,1.38,5.6,,,,,,,,
11/17/2018 1740,6.61,9.09,2.74,1.38,4.2,,,,,,,,
11/17/2018 1840,6.81,9.09,2.77,1.37,6.2,,,,,,,,
11/17/2018 1940,6.64,9.09,2.66,1.29,5.6,,,,,,,,
11/17/2018 2040,6.71,9.09,2.75,1.14,4.2,,,,,,,,
11/17/2018 2140,6.63,8.33,2.72,0.99,4.3,,,,,,,,
11/17/2018 2240,6.57,8.33,2.56,1.16,5.6,,,,,,,,
11/17/2018 2340,6.39,8.33,2.38,1.35,5.6,,,,,,,,
11/18/2018 0040,6.34,8.33,2.31,1.35,5,,,,,,,,
11/18/2018 0140,6.06,8.33,2.03,1.25,5.6,,,,,,,,
11/18/2018 0240,6.36,8.33,2.21,1.74,6.7,,,,,,,,
11/18/2018 0340,5.92,7.69,1.96,1.1,4.2,,,,,,,,
11/18/2018 0440,6.32,7.69,1.95,0.7,4,,,,,,,,
11/18/2018 0540,6.21,7.69,1.96,0.64,4.3,,,,,,,,
11/18/2018 0640,5.8,7.69,1.72,0.67,4.5,,,,,,,,
11/18/2018 0740,6.14,8.33,1.76,0.54,3.7,,,,,,,,
11/18/2018 0840,6.27,7.69,1.8,0.67,4.3,,,,,,,,
11/18/2018 0940,5.94,7.14,1.64,0.53,4.2,,,,,,,,
11/18/2018 1040,6.15,7.69,1.78,0.46,3.6,,,,,,,,
11/18/2018 1140,5.85,7.69,1.75,0.85,5.3,,,,,,,,
11/18/2018 1240,5.94,6.67,1.65,0.53,4,,,,,,,,
11/18/2018 1340,5.88,7.14,1.65,0.79,4.3,,,,,,,,
11/18/2018 1440,5.98,7.14,1.6,0.66,4.8,,,,,,,,
11/18/2018 1540,5.96,8.33,1.57,0.46,3.6,,,,,,,,
11/18/2018 1640,5.89,8.33,1.5,0.46,3.3,,,,,,,,
11/18/2018 1740,5.92,5.88,1.51,0.44,3.6,,,,,,,,
11/18/2018 1840,5.8,9.09,1.4,0.43,3.8,,,,,,,,
11/18/2018 1940,5.76,7.69,1.43,0.47,4,,,,,,,,
11/18/2018 2040,5.88,9.09,1.34,0.43,4,,,,,,,,
11/18/2018 2140,6.22,14.81,1.38,0.39,4,,,,,,,,
11/18/2018 2240,5.95,14.81,1.22,0.36,3.8,,,,,,,,
11/18/2018 2340,5.97,9.09,1.17,0.36,3.8,,,,,,,,
11/19/2018 0040,5.95,9.09,1.14,0.36,4,,,,,,,,
11/19/2018 0140,6.19,10,1.17,0.32,3.8,,,,,,,,
11/19/2018 0240,6.09,14.81,1.16,0.33,3.7,,,,,,,,
11/19/2018 0340,6.46,14.81,1.15,0.3,3.8,,,,,,,,
11/19/2018 0440,6.58,16,1.16,0.3,4,,,,,,,,
11/19/2018 0540,6.6,16,1.07,0.3,3.8,,,,,,,,
11/19/2018 0640,6.45,13.79,1.09,0.32,3.8,,,,,,,,
11/19/2018 0740,6.75,9.09,1.19,0.31,3.8,,,,,,,,
11/19/2018 0840,6.74,10,1.14,0.38,4.3,,,,,,,,
11/19/2018 0940,6.16,10,1.05,0.45,5,,,,,,,,
11/19/2018 1040,5.62,9.09,1.09,0.56,4.8,,,,,,,,
11/19/2018 1140,5.59,9.09,1.07,0.51,3.1,,,,,,,,
11/19/2018 1240,5.43,14.81,1.09,0.66,3.6,,,,,,,,
11/19/2018 1340,5.47,9.09,1.2,0.69,3.4,,,,,,,,
11/19/2018 1440,5.33,14.81,1.13,0.71,3.7,,,,,,,,
11/19/2018 1540,5.31,16,1.17,0.74,3.7,,,,,,,,
11/19/2018 1640,5.33,9.09,1.17,0.75,3.8,,,,,,,,
11/19/2018 1740,5.32,14.81,1.19,0.69,4,,,,,,,,
11/19/2018 1840,5.61,16,1.19,0.7,4,,,,,,,,
11/19/2018 1940,5.37,14.81,1.2,0.76,4.3,,,,,,,,
11/19/2018 2040,5.32,13.79,1.19,0.78,4.3,,,,,,,,
11/19/2018 2140,5.31,14.81,1.18,0.77,4,,,,,,,,
11/19/2018 2240,5.43,12.9,1.25,0.51,3.8,,,,,,,,
11/19/2018 2340,5.4,6.25,1.25,0.45,3.7,,,,,,,,
11/20/2018 0040,5.43,10,1.23,0.56,3.8,,,,,,,,
11/20/2018 0140,5.43,10,1.25,0.64,4.5,,,,,,,,
11/20/2018 0240,5.52,5,1.27,0.43,3.7,,,,,,,,
11/20/2018 0340,5.45,5.56,1.23,0.45,4,,,,,,,,
11/20/2018 0440,5.77,14.81,1.25,0.42,3.6,,,,,,,,
11/20/2018 0540,5.47,5.88,1.19,0.85,5.9,,,,,,,,
11/20/2018 0640,5.03,13.79,1.28,0.95,5.9,,,,,,,,
11/20/2018 0740,4.97,13.79,1.42,1.13,4.5,,,,,,,,
11/20/2018 0840,4.84,5,1.51,1.33,5,,,,,,,,
11/20/2018 0940,4.92,5.26,1.54,1.42,5.3,,,,,,,,
11/20/2018 1040,5.11,5.56,1.71,1.05,5,,,,,,,,
11/20/2018 1140,5.37,5.88,1.67,0.7,4.3,,,,,,,,
11/20/2018 1240,5.42,5.88,1.77,1.48,5.9,,,,,,,,
11/20/2018 1340,5.62,7.14,2.05,1.78,7.1,,,,,,,,
11/20/2018 1440,5.66,7.14,2.01,1.33,5,,,,,,,,
11/20/2018 1540,5.73,7.14,1.94,1.61,7.1,,,,,,,,
11/20/2018 1640,5.87,7.14,2.08,1.35,5.3,,,,,,,,
11/20/2018 1740,5.73,7.14,2.07,1.68,7.1,,,,,,,,
11/20/2018 1840,5.8,7.14,1.94,1.18,5.6,,,,,,,,
11/20/2018 1940,5.94,7.14,1.98,1.12,5.6,,,,,,,,
11/20/2018 2040,5.86,8.33,1.85,1.14,5.3,,,,,,,,
11/20/2018 2140,5.58,7.69,1.77,1.36,6.2,,,,,,,,
11/20/2018 2240,5.86,7.69,1.97,1.46,5.3,,,,,,,,
11/20/2018 2340,5.84,7.69,1.9,1.66,7.7,,,,,,,,
11/21/2018 0040,5.55,7.69,1.9,1.65,7.7,,,,,,,,
11/21/2018 0140,5.46,7.69,1.97,1.83,7.7,,,,,,,,
11/21/2018 0240,5.45,8.33,2.19,2.05,8.3,,,,,,,,
11/21/2018 0340,5.55,7.69,2.4,2.32,7.7,,,,,,,,
11/21/2018 0440,6,7.14,2.85,2.81,7.1,,,,,,,,
11/21/2018 0540,6.69,8.33,3.7,3.7,8.3,,,,,,,,
11/21/2018 0640,6.53,9.09,3.38,3.35,9.1,,,,,,,,
11/21/2018 0740,6.51,8.33,3.36,3.32,8.3,,,,,,,,
11/21/2018 0840,6.49,9.09,3.27,3.13,9.1,,,,,,,,
11/21/2018 0940,6.87,9.09,3.4,2.69,4.2,,,,,,,,
11/21/2018 1040,6.68,9.09,3.18,1.84,5.9,,,,,,,,
11/21/2018 1140,6.75,8.33,3.26,1.59,6.2,,,,,,,,
11/21/2018 1240,6.52,7.69,2.86,1.02,5,,,,,,,,
11/21/2018 1340,6.51,9.09,2.82,1.54,6.2,,,,,,,,
11/21/2018 1440,6.57,8.33,2.85,0.98,4.8,,,,,,,,
11/21/2018 1540,6.56,8.33,2.73,0.63,3.8,,,,,,,,
11/21/2018 1640,6.32,8.33,2.38,1.23,5.9,,,,,,,,
11/21/2018 1740,6.62,8.33,2.37,0.73,4.3,,,,,,,,
11/21/2018 1840,6.29,8.33,2.19,0.81,4.8,,,,,,,,
11/21/2018 1940,5.86,7.69,1.96,1.18,5.9,,,,,,,,
11/21/2018 2040,5.98,8.33,1.91,1.32,6.2,,,,,,,,
11/21/2018 2140,6.19,8.33,1.87,1.08,6.2,,,,,,,,
11/21/2018 2240,5.78,7.69,1.82,1.54,7.7,,,,,,,,
11/21/2018 2340,5.66,8.33,1.94,1.44,4.3,,,,,,,,
11/22/2018 0040,5.76,8.33,1.87,1.52,7.1,,,,,,,,
11/22/2018 0140,5.61,7.14,2.07,1.98,7.1,,,,,,,,
11/22/2018 0240,5.33,7.69,2.01,1.91,7.7,,,,,,,,
11/22/2018 0340,5.41,7.69,2.01,1.93,7.7,,,,,,,,
11/22/2018 0440,5.64,6.25,2.44,2.4,6.2,,,,,,,,
11/22/2018 0540,5.78,7.14,2.36,2.33,7.1,,,,,,,,
11/22/2018 0640,5.87,7.14,2.51,2.36,7.1,,,,,,,,
11/22/2018 0740,5.68,6.67,2.39,2.38,6.7,,,,,,,,
11/22/2018 0840,5.82,7.14,2.54,2.53,7.1,,,,,,,,
11/22/2018 0940,5.76,7.14,2.64,2.63,7.1,,,,,,,,
11/22/2018 1040,6.51,7.69,3.49,3.49,7.7,,,,,,,,
11/22/2018 1140,6.86,8.33,3.91,3.91,8.3,,,,,,,,
11/22/2018 1240,7.2,9.09,4.3,4.28,9.1,,,,,,,,
11/22/2018 1340,7.24,9.09,4.14,4.14,9.1,,,,,,,,
11/22/2018 1440,7.16,9.09,4.3,4.29,9.1,,,,,,,,
11/22/2018 1540,7.46,9.09,4.53,2.92,6.7,,,,,,,,
11/22/2018 1640,7,10,3.91,3.74,10,,,,,,,,
11/22/2018 1740,7.04,9.09,4.02,4.02,9.1,,,,,,,,
11/22/2018 1840,7.12,10,3.86,3.15,8.3,,,,,,,,
11/22/2018 1940,7.04,10,3.64,2.97,5.9,,,,,,,,
11/22/2018 2040,7.28,10,3.97,2.71,5,,,,,,,,
11/22/2018 2140,7.38,10,4.21,4.11,10,,,,,,,,
11/22/2018 2240,,,,,,,,,,,,,
11/22/2018 2340,7.1,9.09,3.87,3.87,9.1,,,,,,,,
11/23/2018 0040,8.01,10,4.69,2.9,6.7,,,,,,,,
11/23/2018 0140,7.65,10,4.41,4.41,10,,,,,,,,
11/23/2018 0240,7.5,10,4.62,4.26,10,,,,,,,,
11/23/2018 0340,7.71,10.81,4.46,3.85,8.3,,,,,,,,
11/23/2018 0440,7.52,10,4.18,2.91,6.7,,,,,,,,
11/23/2018 0540,7.74,10,4.63,4.63,10,,,,,,,,
11/23/2018 0640,7.98,10,4.9,4.83,10,,,,,,,,
11/23/2018 0740,7.45,10.81,4.24,3.62,8.3,,,,,,,,
11/23/2018 0840,7.84,10,4.77,4.77,10,,,,,,,,
11/23/2018 0940,8,10.81,4.66,3.7,7.1,,,,,,,,
11/23/2018 1040,7.96,10.81,4.73,3.94,7.1,,,,,,,,
11/23/2018 1140,8,10.81,5.05,4.37,4.2,,,,,,,,
11/23/2018 1240,7.22,10,3.98,3.13,7.1,,,,,,,,
11/23/2018 1340,7.17,10,3.81,2.95,8.3,,,,,,,,
11/23/2018 1440,7.36,10.81,3.99,3.53,9.1,,,,,,,,
11/23/2018 1540,7.11,10,3.7,3.02,7.1,,,,,,,,
11/23/2018 1640,7,10,3.23,2.58,6.7,,,,,,,,
11/23/2018 1740,7.2,10,3.41,2.24,5.3,,,,,,,,
11/23/2018 1840,7.17,10.81,3.32,2.37,7.7,,,,,,,,
11/23/2018 1940,7.51,10.81,3.68,2.6,7.7,,,,,,,,
11/23/2018 2040,7.07,10.81,3.36,2.34,6.7,,,,,,,,
11/23/2018 2140,7.2,10.81,3.13,1.51,4.8,,,,,,,,
11/23/2018 2240,7.16,10,3.28,1.65,6.2,,,,,,,,
11/23/2018 2340,7.46,10,3.28,0.79,4.5,,,,,,,,
11/24/2018 0040,7.05,9.09,2.93,1.26,5.9,,,,,,,,
11/24/2018 0140,6.76,9.09,2.73,1.13,5,,,,,,,,
11/24/2018 0240,6.93,10,2.53,1.1,5.9,,,,,,,,
11/24/2018 0340,7.32,10,2.81,0.52,3.8,,,,,,,,
11/24/2018 0440,7,10.81,2.61,0.56,3.7,,,,,,,,
11/24/2018 0540,7.13,10,2.46,0.52,3.4,,,,,,,,
11/24/2018 0640,7.34,10.81,2.47,0.49,4,,,,,,,,
11/24/2018 0740,7.01,10,2.2,0.46,3.4,,,,,,,,
11/24/2018 0840,7.55,10,2.46,0.46,3.7,,,,,,,,
11/24/2018 0940,7.36,10,2.3,0.44,3.7,,,,,,,,
11/24/2018 1040,7.55,10,2.34,0.41,3.7,,,,,,,,
11/24/2018 1140,7.04,9.09,1.97,0.42,4,,,,,,,,
11/24/2018 1240,7.41,10,2.18,0.41,4,,,,,,,,
11/24/2018 1340,7.31,9.09,1.97,0.39,3.8,,,,,,,,
11/24/2018 1440,7.46,9.09,1.93,0.36,4,,,,,,,,
11/24/2018 1540,7.15,10,1.63,0.33,3.8,,,,,,,,
11/24/2018 1640,6.62,10,1.51,0.47,4,,,,,,,,
11/24/2018 1740,6.5,8.33,1.51,0.65,4.8,,,,,,,,
11/24/2018 1840,6.06,9.09,1.45,0.71,5.6,,,,,,,,
11/24/2018 1940,5.4,9.09,1.43,0.83,5.9,,,,,,,,
11/24/2018 2040,4.99,9.09,1.39,0.97,4,,,,,,,,
11/24/2018 2140,4.71,4.35,1.44,1.23,4.3,,,,,,,,
11/24/2018 2240,4.78,4.35,1.32,1.12,4.3,,,,,,,,
11/24/2018 2340,4.85,5,1.45,1.28,5,,,,,,,,
11/25/2018 0040,4.97,5,1.5,1.33,5,,,,,,,,
11/25/2018 0140,4.88,5.26,1.61,1.51,5.3,,,,,,,,
11/25/2018 0240,4.97,5.56,1.6,1.51,5.6,,,,,,,,
11/25/2018 0340,5.06,5.56,1.67,1.56,5.6,,,,,,,,
11/25/2018 0440,5.07,5.88,1.92,1.92,5.9,,,,,,,,
11/25/2018 0540,5.45,6.25,2.39,2.36,6.2,,,,,,,,
11/25/2018 0640,5.47,6.67,2.3,2.27,6.7,,,,,,,,
11/25/2018 0740,5.58,6.67,2.46,2.46,6.7,,,,,,,,
11/25/2018 0840,5.7,7.14,2.5,2.5,7.1,,,,,,,,
11/25/2018 0940,5.72,7.14,2.54,2.54,7.1,,,,,,,,
11/25/2018 1040,5.77,6.67,2.77,2.76,6.7,,,,,,,,
11/25/2018 1140,5.9,7.14,2.77,2.77,7.1,,,,,,,,
11/25/2018 1240,5.5,6.67,2.38,2.38,6.7,,,,,,,,
11/25/2018 1340,5.41,6.67,2.38,2.38,6.7,,,,,,,,
11/25/2018 1440,5.39,6.67,2.32,2.32,6.7,,,,,,,,
11/25/2018 1540,5.53,6.67,2.33,2.32,6.7,,,,,,,,
11/25/2018 1640,5.72,6.25,2.62,2.62,6.2,,,,,,,,
11/25/2018 1740,5.98,7.14,3.02,3.02,7.1,,,,,,,,
11/25/2018 1840,6.24,8.33,3.23,3.23,8.3,,,,,,,,
11/25/2018 1940,6.77,8.33,4.1,4.1,8.3,,,,,,,,
11/25/2018 2040,7.48,10,4.69,4.68,10,,,,,,,,
11/25/2018 2140,7.72,9.09,5.15,5.14,9.1,,,,,,,,
11/25/2018 2240,7.54,10,4.54,3.02,7.7,,,,,,,,
11/25/2018 2340,7.77,10,5.1,5.1,10,,,,,,,,
11/26/2018 0040,7.27,10,4.26,3.05,6.2,,,,,,,,
11/26/2018 0140,7.78,9.09,4.81,4.81,9.1,,,,,,,,
11/26/2018 0240,7.41,10,4.51,3.7,8.3,,,,,,,,
11/26/2018 0340,7.84,10,4.33,2.53,6.7,,,,,,,,
11/26/2018 0440,7.49,10,4.11,2.33,7.7,,,,,,,,
11/26/2018 0540,6.96,8.33,3.49,2.02,6.7,,,,,,,,
11/26/2018 0640,6.93,8.33,3.21,1.54,6.2,,,,,,,,
11/26/2018 0740,6.73,9.09,3.06,1.53,5.3,,,,,,,,
11/26/2018 0840,6.64,9.09,2.87,1.35,5.3,,,,,,,,
11/26/2018 0940,6.48,8.33,2.76,1.25,5.6,,,,,,,,
11/26/2018 1040,6.35,8.33,2.47,0.93,4.3,,,,,,,,
11/26/2018 1140,6.7,8.33,2.76,0.79,4.5,,,,,,,,
11/26/2018 1240,6.74,9.09,2.57,0.86,4.8,,,,,,,,
11/26/2018 1340,6.74,7.69,2.4,0.49,3.4,,,,,,,,
11/26/2018 1440,6.58,9.09,2.13,0.45,3.8,,,,,,,,
11/26/2018 1540,6.56,8.33,2.03,0.48,4,,,,,,,,
11/26/2018 1640,6.64,7.69,2.24,0.46,3.6,,,,,,,,
11/26/2018 1740,6.71,9.09,2.26,0.52,4,,,,,,,,
11/26/2018 1840,6.61,7.14,2.16,0.49,3.7,,,,,,,,
11/26/2018 1940,6.82,9.09,2.31,0.48,3.7,,,,,,,,
11/26/2018 2040,6.76,8.33,2.25,0.45,3.7,,,,,,,,
11/26/2018 2140,6.62,9.09,2.08,0.54,3.8,,,,,,,,
11/26/2018 2240,6.63,10.81,2.07,0.94,5.6,,,,,,,,
11/26/2018 2340,6.24,10,1.93,1.08,6.2,,,,,,,,
11/27/2018 0040,6.5,10.81,2.21,1.18,6.2,,,,,,,,
11/27/2018 0140,5.94,10.81,2.25,1.57,4.3,,,,,,,,
11/27/2018 0240,5.82,12.12,2.42,1.96,5.6,,,,,,,,
11/27/2018 0340,5.73,5.88,2.36,1.97,5.9,,,,,,,,
11/27/2018 0440,5.88,10.81,2.61,2.16,5.9,,,,,,,,
11/27/2018 0540,6.08,10.81,2.9,2.51,5.9,,,,,,,,
11/27/2018 0640,6.17,7.14,3.22,3.04,7.1,,,,,,,,
11/27/2018 0740,6.98,7.69,3.76,3.76,7.7,,,,,,,,
11/27/2018 0840,7.05,8.33,3.51,3.51,8.3,,,,,,,,
11/27/2018 0940,6.74,9.09,3.34,2.59,5.9,,,,,,,,
11/27/2018 1040,6.59,8.33,3.08,2.75,8.3,,,,,,,,
11/27/2018 1140,6.74,8.33,3.25,2.98,8.3,,,,,,,,
11/27/2018 1240,6.61,7.69,3.14,2.76,7.7,,,,,,,,
11/27/2018 1340,6.76,10.81,3.2,2.84,9.1,,,,,,,,
11/27/2018 1440,6.81,12.12,3.26,2.84,8.3,,,,,,,,
11/27/2018 1540,6.67,8.33,3.33,3.03,8.3,,,,,,,,
11/27/2018 1640,7.03,8.33,4.06,3.94,8.3,,,,,,,,
11/27/2018 1740,7.24,9.09,4.04,3.77,9.1,,,,,,,,
11/27/2018 1840,7.59,9.09,4.41,4.2,9.1,,,,,,,,
11/27/2018 1940,7.23,10,3.72,2.62,5.6,,,,,,,,
11/27/2018 2040,7.45,9.09,4.13,2.72,6.7,,,,,,,,
11/27/2018 2140,7.3,10.81,3.99,2.7,5.9,,,,,,,,
11/27/2018 2240,7.15,10,3.69,2.9,6.7,,,,,,,,
11/27/2018 2340,7.18,10.81,3.68,2.97,6.2,,,,,,,,
11/28/2018 0040,7.39,10,3.77,2.92,7.1,,,,,,,,
11/28/2018 0140,7.21,9.09,3.62,2.52,5.6,,,,,,,,
11/28/2018 0240,7.62,10,3.84,2.93,7.1,,,,,,,,
11/28/2018 0340,7.29,10,3.48,2.01,5.3,,,,,,,,
11/28/2018 0440,7.49,10,3.71,2.3,6.7,,,,,,,,
11/28/2018 0540,7.31,10,3.68,2.41,6.7,,,,,,,,
11/28/2018 0640,7.16,9.09,3.5,1.74,4.5,,,,,,,,
11/28/2018 0740,7.15,10,3.16,1.6,6.7,,,,,,,,
11/28/2018 0840,7.04,10,3.2,1.02,4.8,,,,,,,,
11/28/2018 0940,6.98,9.09,2.96,1.78,6.7,,,,,,,,
11/28/2018 1040,6.84,10,3.24,2.37,7.1,,,,,,,,
11/28/2018 1140,6.51,10.81,3.14,2.48,7.7,,,,,,,,
11/28/2018 1240,6.64,10,3.22,2.75,8.3,,,,,,,,
11/28/2018 1340,6.64,10,3.4,2.89,7.7,,,,,,,,
11/28/2018 1440,6.62,9.09,3.21,2.48,6.2,,,,,,,,
11/28/2018 1540,6.97,8.33,4.06,4.06,8.3,,,,,,,,
11/28/2018 1640,7.39,9.09,4.46,4.46,9.1,,,,,,,,
11/28/2018 1740,7.87,10,5.28,5.28,10,,,,,,,,
11/28/2018 1840,7.92,10,5.68,5.68,10,,,,,,,,
11/28/2018 1940,8.51,10,6.41,6.41,10,,,,,,,,
11/28/2018 2040,8.45,10,6.43,6.43,10,,,,,,,,
11/28/2018 2140,8.7,10.81,6.71,6.71,10.8,,,,,,,,
11/28/2018 2240,9.11,11.43,7.52,7.52,11.4,,,,,,,,
11/28/2018 2340,9.19,12.12,7.14,7.14,12.1,,,,,,,,
11/29/2018 0040,9.56,12.12,7.37,4.06,7.1,,,,,,,,
11/29/2018 0140,9.45,11.43,8.16,8.16,11.4,,,,,,,,
11/29/2018 0240,9.43,11.43,7.42,4.15,9.1,,,,,,,,
11/29/2018 0340,9.69,12.12,7.95,7.95,12.1,,,,,,,,
11/29/2018 0440,9.72,12.12,8.25,5.28,5.9,,,,,,,,
11/29/2018 0540,9.12,11.43,7.47,5.09,8.3,,,,,,,,
11/29/2018 0640,9.27,12.12,7.81,7.81,12.1,,,,,,,,
11/29/2018 0740,9.6,12.12,8.06,7.05,12.1,,,,,,,,
11/29/2018 0840,8.94,10.81,7.17,6.44,10.8,,,,,,,,
11/29/2018 0940,9.39,12.12,7.35,7.35,12.1,,,,,,,,
11/29/2018 1040,8.85,12.12,6.65,4.49,6.2,,,,,,,,
11/29/2018 1140,9.52,12.12,8.12,8.12,12.1,,,,,,,,
11/29/2018 1240,8.69,11.43,6.61,6.51,11.4,,,,,,,,
11/29/2018 1340,8.88,12.12,6.49,3,6.7,,,,,,,,
11/29/2018 1440,8.67,11.43,6.34,4.51,6.2,,,,,,,,
11/29/2018 1540,8.51,12.12,5.95,5.95,12.1,,,,,,,,
11/29/2018 1640,8.48,11.43,5.86,4.51,8.3,,,,,,,,
11/29/2018 1740,8.63,11.43,6.31,3.6,6.7,,,,,,,,
11/29/2018 1840,8.83,11.43,6.32,6.28,11.4,,,,,,,,
11/29/2018 1940,8.67,11.43,6.31,6.31,11.4,,,,,,,,
11/29/2018 2040,8.6,11.43,6.12,6.12,11.4,,,,,,,,
11/29/2018 2140,8.35,10.81,5.77,4.51,7.7,,,,,,,,
11/29/2018 2240,7.93,10.81,5.14,4.1,7.1,,,,,,,,
11/29/2018 2340,8.01,10,5.16,5.16,10,,,,,,,,
11/30/2018 0040,7.98,9.09,5.49,5.49,9.1,,,,,,,,
11/30/2018 0140,8.09,10.81,5.53,4.69,7.1,,,,,,,,
11/30/2018 0240,7.74,10,4.73,3.27,7.7,,,,,,,,
11/30/2018 0340,8.05,10.81,5.43,4.64,6.7,,,,,,,,
11/30/2018 0440,7.79,10.81,5.08,4.52,7.1,,,,,,,,
11/30/2018 0540,7.98,10,5.17,5.17,10,,,,,,,,
11/30/2018 0640,7.78,10.81,4.76,3.52,7.1,,,,,,,,
11/30/2018 0740,7.84,10,5,3.41,8.3,,,,,,,,
11/30/2018 0840,7.64,10,4.53,4.41,10,,,,,,,,
11/30/2018 0940,7.92,10,4.57,3.17,7.1,,,,,,,,
11/30/2018 1040,7.82,10,4.66,2.8,6.7,,,,,,,,
11/30/2018 1140,7.79,10,4.58,2.72,6.7,,,,,,,,
11/30/2018 1240,7.62,10.81,4.43,2.84,5,,,,,,,,
11/30/2018 1340,7.37,9.09,4.08,3.4,9.1,,,,,,,,
11/30/2018 1440,7.24,9.09,3.78,2.63,6.2,,,,,,,,
11/30/2018 1540,7.71,9.09,4.13,3.12,9.1,,,,,,,,
11/30/2018 1640,7.51,10.81,3.77,2.42,7.1,,,,,,,,
11/30/2018 1740,7.28,8.33,3.67,2.66,8.3,,,,,,,,
11/30/2018 1840,7.56,9.09,4,3.17,9.1,,,,,,,,
11/30/2018 1940,7.36,10,3.73,2.6,5.9,,,,,,,,
11/30/2018 2040,7.08,12.12,3.65,2.52,7.1,,,,,,,,
11/30/2018 2140,7.25,12.12,3.62,2.31,4.5,,,,,,,,
11/30/2018 2240,7.15,12.12,3.68,2.15,5.9,,,,,,,,
