DateTime,AVGPD/A048W,DOMPD/A048W,WVHGT/A048W,WWHGT/A048W,WWPD/A048W,,,,,,,,
11/04/2018 1040,6.39,7.69,2.49,1.45,4.3,,,,,,,,
11/04/2018 1140,6.19,9.09,2.23,1.53,7.1,,,,,,,,
11/04/2018 1240,6.2,9.09,2.25,1.53,6.7,,,,,,,,
11/04/2018 1340,6,7.14,2.15,1.6,7.1,,,,,,,,
11/04/2018 1440,5.6,8.33,2.08,1.75,6.2,,,,,,,,
11/04/2018 1540,5.83,7.69,2.16,1.74,7.7,,,,,,,,
11/04/2018 1640,5.82,8.33,2.15,1.98,8.3,,,,,,,,
11/04/2018 1740,5.74,8.33,2.09,1.9,8.3,,,,,,,,
11/04/2018 1840,5.78,8.33,2.13,1.94,8.3,,,,,,,,
11/04/2018 1940,5.91,8.33,2.32,2.24,8.3,,,,,,,,
11/04/2018 2040,5.91,7.14,2.3,2.23,7.1,,,,,,,,
11/04/2018 2140,5.7,6.25,2.25,2.18,6.2,,,,,,,,
11/04/2018 2240,5.68,5.88,2.29,2.2,5.9,,,,,,,,
11/04/2018 2340,5.66,6.25,2.26,2.18,6.2,,,,,,,,
11/05/2018 0040,5.7,6.25,2.24,2.16,6.2,,,,,,,,
11/05/2018 0140,5.7,6.25,2.1,1.93,6.2,,,,,,,,
11/05/2018 0240,5.6,6.67,2.01,1.91,6.7,,,,,,,,
11/05/2018 0340,5.57,6.67,1.95,0.61,3.8,,,,,,,,
11/05/2018 0440,5.79,6.67,1.84,0.87,4.5,,,,,,,,
11/05/2018 0540,5.82,7.14,1.88,0.55,3.8,,,,,,,,
11/05/2018 0640,5.67,6.67,1.66,0.66,4.5,,,,,,,,
11/05/2018 0740,5.79,7.14,1.73,0.72,5,,,,,,,,
11/05/2018 0840,5.57,7.14,1.52,0.79,5,,,,,,,,
11/05/2018 0940,5.69,6.67,1.52,0.72,5.3,,,,,,,,
11/05/2018 1040,5.42,7.14,1.5,1.07,4.5,,,,,,,,
11/05/2018 1140,5.47,7.14,1.57,0.98,5.6,,,,,,,,
11/05/2018 1240,5.4,7.14,1.47,0.92,5,,,,,,,,
11/05/2018 1340,5.38,6.25,1.46,0.71,4.8,,,,,,,,
11/05/2018 1440,5.5,6.67,1.41,0.81,4.8,,,,,,,,
11/05/2018 1540,5.37,6.25,1.45,0.96,5.3,,,,,,,,
11/05/2018 1640,5.24,6.67,1.45,0.81,4,,,,,,,,
11/05/2018 1740,5.34,6.25,1.41,0.74,4.8,,,,,,,,
11/05/2018 1840,5.43,6.25,1.44,0.83,4.8,,,,,,,,
11/05/2018 1940,5.24,7.69,1.43,1.14,5.9,,,,,,,,
11/05/2018 2040,5.31,6.25,1.5,1.09,6.2,,,,,,,,
11/05/2018 2140,5.22,6.25,1.5,1.28,6.2,,,,,,,,
11/05/2018 2240,5.26,6.25,1.43,1.06,6.2,,,,,,,,
11/05/2018 2340,5.36,7.69,1.52,1.03,5,,,,,,,,
11/06/2018 0040,5.34,6.25,1.53,1.13,6.2,,,,,,,,
11/06/2018 0140,5.45,8.33,1.54,0.93,4.3,,,,,,,,
11/06/2018 0240,5.34,6.25,1.43,0.8,4.3,,,,,,,,
11/06/2018 0340,5.54,7.69,1.44,0.75,4.8,,,,,,,,
11/06/2018 0440,5.53,7.69,1.45,0.96,5.3,,,,,,,,
11/06/2018 0540,5.39,7.69,1.41,1.05,5.9,,,,,,,,
11/06/2018 0640,5.62,8.33,1.5,1.06,5.9,,,,,,,,
11/06/2018 0740,5.47,8.33,1.49,0.95,5.3,,,,,,,,
11/06/2018 0840,5.65,6.67,1.53,1,5,,,,,,,,
11/06/2018 0940,5.44,9.09,1.37,0.86,5.3,,,,,,,,
11/06/2018 1040,5.79,8.33,1.58,0.8,4.3,,,,,,,,
11/06/2018 1140,5.76,8.33,1.55,0.9,5.9,,,,,,,,
11/06/2018 1240,5.68,9.09,1.56,0.79,4.5,,,,,,,,
11/06/2018 1340,5.51,8.33,1.54,0.91,5,,,,,,,,
11/06/2018 1440,5.88,8.33,1.56,0.86,5.6,,,,,,,,
11/06/2018 1540,5.65,8.33,1.54,1.08,6.7,,,,,,,,
11/06/2018 1640,5.46,7.14,1.54,1.09,6.2,,,,,,,,
11/06/2018 1740,5.87,7.69,1.65,0.95,5.3,,,,,,,,
11/06/2018 1840,5.66,9.09,1.57,1.07,5.6,,,,,,,,
11/06/2018 1940,5.48,9.09,1.49,0.96,5.3,,,,,,,,
11/06/2018 2040,5.4,8.33,1.55,1.16,5.9,,,,,,,,
11/06/2018 2140,5.54,9.09,1.64,1.22,6.2,,,,,,,,
11/06/2018 2240,5.59,8.33,1.65,1.18,4.5,,,,,,,,
11/06/2018 2340,5.59,8.33,1.61,1.08,4,,,,,,,,
11/07/2018 0040,5.44,9.09,1.57,1.25,7.1,,,,,,,,
11/07/2018 0140,5.43,7.69,1.53,1.19,4.2,,,,,,,,
11/07/2018 0240,5.39,9.09,1.52,1.13,6.7,,,,,,,,
11/07/2018 0340,5.5,9.09,1.58,1.17,6.7,,,,,,,,
