DateTime,WSPD1/A001E,WSPD11/A001E,WSPD12/A001E,WDIR1/A001E,,,,,,
03/11/2016 1720,10,11.16,12.13,244,,,,,,
03/11/2016 1730,10.3,11.5,12.49,242,,,,,,
03/11/2016 1740,10.1,11.27,12.25,240,,,,,,
03/11/2016 1750,10.4,11.61,12.62,240,,,,,,
03/11/2016 1800,10.1,11.27,12.25,241,,,,,,
03/11/2016 1810,10.1,11.27,12.25,247,,,,,,
03/11/2016 1820,9.7,10.83,11.77,245,,,,,,
03/11/2016 1830,9.8,10.94,11.89,249,,,,,,
03/11/2016 1840,9.3,10.38,11.28,250,,,,,,
03/11/2016 1850,9.5,10.6,11.52,252,,,,,,
03/11/2016 1900,8.8,9.82,10.67,249,,,,,,
03/11/2016 1910,8.6,9.6,10.43,248,,,,,,
03/11/2016 1920,9.2,10.27,11.16,248,,,,,,
03/11/2016 1930,9.3,10.38,11.28,251,,,,,,
03/11/2016 1940,9.4,10.49,11.4,252,,,,,,
03/11/2016 1950,9.3,10.38,11.28,256,,,,,,
03/11/2016 2000,9.2,10.27,11.16,257,,,,,,
03/11/2016 2010,8.7,9.71,10.55,260,,,,,,
03/11/2016 2020,9.8,10.94,11.89,263,,,,,,
03/11/2016 2030,10,11.16,12.13,261,,,,,,
03/11/2016 2040,10.2,11.39,12.37,266,,,,,,
03/11/2016 2050,9.3,10.38,11.28,273,,,,,,
03/11/2016 2100,9.4,10.49,11.4,272,,,,,,
03/11/2016 2110,10.5,11.72,12.74,275,,,,,,
03/11/2016 2120,10.4,11.61,12.62,280,,,,,,
03/11/2016 2130,10.3,11.5,12.49,281,,,,,,
03/11/2016 2140,10.6,11.83,12.86,284,,,,,,
03/11/2016 2150,9.7,10.83,11.77,282,,,,,,
03/11/2016 2200,9.2,10.27,11.16,284,,,,,,
03/11/2016 2210,9.2,10.27,11.16,283,,,,,,
03/11/2016 2220,9.6,10.72,11.65,287,,,,,,
03/11/2016 2230,9.6,10.72,11.65,289,,,,,,
03/11/2016 2240,9,10.05,10.92,304,,,,,,
03/11/2016 2250,7.4,8.26,8.98,330,,,,,,
03/11/2016 2300,8.9,9.93,10.8,323,,,,,,
03/11/2016 2310,7.5,8.37,9.1,329,,,,,,
03/11/2016 2320,6.6,7.37,8.01,327,,,,,,
03/11/2016 2330,6.1,6.81,7.4,330,,,,,,
03/11/2016 2340,5.3,5.92,6.43,336,,,,,,
03/11/2016 2350,6,6.7,7.28,352,,,,,,
03/12/2016 0000,5.7,6.36,6.91,351,,,,,,
03/12/2016 0010,5.9,6.59,7.16,347,,,,,,
03/12/2016 0020,5.7,6.36,6.91,350,,,,,,
03/12/2016 0030,5.4,6.03,6.55,344,,,,,,
03/12/2016 0040,5.7,6.36,6.91,340,,,,,,
03/12/2016 0050,4.8,5.36,5.82,340,,,,,,
03/12/2016 0100,4.8,5.36,5.82,343,,,,,,
03/12/2016 0110,5.3,5.92,6.43,354,,,,,,
03/12/2016 0120,5,5.58,6.07,9,,,,,,
03/12/2016 0130,4.9,5.47,5.94,1,,,,,,
03/12/2016 0140,4.2,4.69,5.09,349,,,,,,
03/12/2016 0150,4.3,4.8,5.22,3,,,,,,
03/12/2016 0200,4.7,5.25,5.7,28,,,,,,
03/12/2016 0210,4.6,5.13,5.58,33,,,,,,
03/12/2016 0220,3.6,4.02,4.37,26,,,,,,
03/12/2016 0230,4.5,5.02,5.46,29,,,,,,
03/12/2016 0240,4.8,5.36,5.82,21,,,,,,
03/12/2016 0250,4.7,5.25,5.7,23,,,,,,
03/12/2016 0300,5.2,5.8,6.31,27,,,,,,
03/12/2016 0310,6.4,7.14,7.76,36,,,,,,
