DateTime,WSPD1/A001E,WSPD11/A001E,WSPD12/A001E,WDIR1/A001E,,,,,,
03/14/2016 0420,4.5,5.02,5.46,241,,,,,,
03/14/2016 0430,4.6,5.13,5.58,232,,,,,,
03/14/2016 0440,4.5,5.02,5.46,225,,,,,,
03/14/2016 0450,5.3,5.92,6.43,230,,,,,,
03/14/2016 0500,6.2,6.92,7.52,226,,,,,,
03/14/2016 0510,6,6.7,7.28,223,,,,,,
03/14/2016 0520,6.1,6.81,7.4,217,,,,,,
03/14/2016 0530,6.6,7.37,8.01,215,,,,,,
03/14/2016 0540,6.9,7.7,8.37,210,,,,,,
03/14/2016 0550,7,7.81,8.49,209,,,,,,
03/14/2016 0600,7.3,8.15,8.86,206,,,,,,
03/14/2016 0610,7.5,8.37,9.1,208,,,,,,
03/14/2016 0620,7.8,8.71,9.46,207,,,,,,
03/14/2016 0630,8.3,9.26,10.07,206,,,,,,
03/14/2016 0640,7.7,8.59,9.34,204,,,,,,
03/14/2016 0650,7.4,8.26,8.98,200,,,,,,
03/14/2016 0700,7.7,8.59,9.34,200,,,,,,
03/14/2016 0710,8.1,9.04,9.83,199,,,,,,
03/14/2016 0720,7.9,8.82,9.58,195,,,,,,
03/14/2016 0730,7.5,8.37,9.1,192,,,,,,
03/14/2016 0740,7.9,8.82,9.58,196,,,,,,
03/14/2016 0750,8,8.93,9.7,195,,,,,,
03/14/2016 0800,8.2,9.15,9.95,196,,,,,,
03/14/2016 0810,8.1,9.04,9.83,198,,,,,,
03/14/2016 0820,9.2,10.27,11.16,193,,,,,,
03/14/2016 0830,9.8,10.94,11.89,191,,,,,,
03/14/2016 0840,10.1,11.27,12.25,192,,,,,,
03/14/2016 0850,10,11.16,12.13,195,,,,,,
03/14/2016 0900,9.4,10.49,11.4,196,,,,,,
03/14/2016 0910,9.8,10.94,11.89,198,,,,,,
03/14/2016 0920,10.3,11.5,12.49,196,,,,,,
03/14/2016 0930,9.9,11.05,12.01,197,,,,,,
03/14/2016 0940,9.6,10.72,11.65,199,,,,,,
03/14/2016 0950,9.2,10.27,11.16,199,,,,,,
03/14/2016 1000,8.4,9.38,10.19,198,,,,,,
03/14/2016 1010,7.7,8.59,9.34,195,,,,,,
03/14/2016 1020,7.8,8.71,9.46,193,,,,,,
03/14/2016 1030,7.4,8.26,8.98,189,,,,,,
03/14/2016 1040,7.8,8.71,9.46,188,,,,,,
03/14/2016 1050,7.9,8.82,9.58,187,,,,,,
03/14/2016 1100,8.3,9.26,10.07,185,,,,,,
03/14/2016 1110,8.5,9.49,10.31,181,,,,,,
03/14/2016 1120,8,8.93,9.7,180,,,,,,
03/14/2016 1130,7.8,8.71,9.46,178,,,,,,
03/14/2016 1140,7.9,8.82,9.58,179,,,,,,
03/14/2016 1150,8.6,9.6,10.43,184,,,,,,
03/14/2016 1200,9.1,10.16,11.04,188,,,,,,
03/14/2016 1210,9.7,10.83,11.77,195,,,,,,
03/14/2016 1220,10.9,12.17,13.22,272,,,,,,
03/14/2016 1230,10.8,12.06,13.1,36,,,,,,
03/14/2016 1240,8.2,9.15,9.95,51,,,,,,
03/14/2016 1250,7,7.81,8.49,67,,,,,,
03/14/2016 1300,6.2,6.92,7.52,64,,,,,,
03/14/2016 1310,6.2,6.92,7.52,75,,,,,,
03/14/2016 1320,6.1,6.81,7.4,92,,,,,,
03/14/2016 1330,5.9,6.59,7.16,99,,,,,,
03/14/2016 1340,4.1,4.58,4.97,109,,,,,,
03/14/2016 1350,4.6,5.13,5.58,110,,,,,,
03/14/2016 1400,4.1,4.58,4.97,126,,,,,,
03/14/2016 1410,9.3,10.38,11.28,182,,,,,,
03/14/2016 1420,9.3,10.38,11.28,183,,,,,,
03/14/2016 1430,9.1,10.16,11.04,183,,,,,,
03/14/2016 1440,9.4,10.49,11.4,187,,,,,,
03/14/2016 1450,9.9,11.05,12.01,193,,,,,,
03/14/2016 1500,10.5,11.72,12.74,195,,,,,,
03/14/2016 1510,9.7,10.83,11.77,195,,,,,,
03/14/2016 1520,9.4,10.49,11.4,204,,,,,,
03/14/2016 1530,8,8.93,9.7,202,,,,,,
03/14/2016 1540,7.7,8.59,9.34,197,,,,,,
03/14/2016 1550,7,7.81,8.49,191,,,,,,
03/14/2016 1600,7.5,8.37,9.1,190,,,,,,
03/14/2016 1610,8.4,9.38,10.19,185,,,,,,
03/14/2016 1620,7.5,8.37,9.1,182,,,,,,
03/14/2016 1630,8.3,9.26,10.07,183,,,,,,
03/14/2016 1640,8.8,9.82,10.67,188,,,,,,
03/14/2016 1650,10,11.16,12.13,190,,,,,,
03/14/2016 1700,9.8,10.94,11.89,197,,,,,,
03/14/2016 1710,10,11.16,12.13,198,,,,,,
03/14/2016 1720,10.4,11.61,12.62,200,,,,,,
03/14/2016 1730,10.2,11.39,12.37,206,,,,,,
03/14/2016 1740,10.7,11.94,12.98,206,,,,,,
03/14/2016 1750,10.6,11.83,12.86,211,,,,,,
03/14/2016 1800,10.1,11.27,12.25,207,,,,,,
03/14/2016 1810,9.6,10.72,11.65,186,,,,,,
03/14/2016 1820,9.9,11.05,12.01,188,,,,,,
03/14/2016 1830,11,12.28,13.34,178,,,,,,
03/14/2016 1840,9.4,10.49,11.4,160,,,,,,
03/14/2016 1850,8.2,9.15,9.95,163,,,,,,
03/14/2016 1900,9.8,10.94,11.89,189,,,,,,
03/14/2016 1910,10,11.16,12.13,189,,,,,,
03/14/2016 1920,10.6,11.83,12.86,181,,,,,,
03/14/2016 1930,11.1,12.39,13.46,176,,,,,,
03/14/2016 1940,11.1,12.39,13.46,177,,,,,,
03/14/2016 1950,10.8,12.06,13.1,177,,,,,,
03/14/2016 2000,11.3,12.61,13.71,178,,,,,,
03/14/2016 2010,11.1,12.39,13.46,178,,,,,,
03/14/2016 2020,11,12.28,13.34,178,,,,,,
03/14/2016 2030,11.3,12.61,13.71,182,,,,,,
03/14/2016 2040,10.5,11.72,12.74,180,,,,,,
03/14/2016 2050,10.2,11.39,12.37,179,,,,,,
03/14/2016 2100,10.4,11.61,12.62,176,,,,,,
03/14/2016 2110,10.4,11.61,12.62,176,,,,,,
03/14/2016 2120,9.4,10.49,11.4,176,,,,,,
03/14/2016 2130,8.8,9.82,10.67,178,,,,,,
03/14/2016 2140,8.5,9.49,10.31,173,,,,,,
03/14/2016 2150,8.5,9.49,10.31,167,,,,,,
03/14/2016 2200,9,10.05,10.92,169,,,,,,
03/14/2016 2210,9.4,10.49,11.4,172,,,,,,
03/14/2016 2220,10.1,11.27,12.25,172,,,,,,
03/14/2016 2230,10.7,11.94,12.98,173,,,,,,
03/14/2016 2240,11.1,12.39,13.46,172,,,,,,
03/14/2016 2250,11.7,13.06,14.19,167,,,,,,
03/14/2016 2300,11.3,12.61,13.71,168,,,,,,
03/14/2016 2310,10.6,11.83,12.86,169,,,,,,
03/14/2016 2320,11.2,12.5,13.59,172,,,,,,
03/14/2016 2330,11.6,12.95,14.07,171,,,,,,
03/14/2016 2340,11.4,12.73,13.83,172,,,,,,
03/14/2016 2350,11.5,12.84,13.95,173,,,,,,
03/15/2016 0000,11.4,12.73,13.83,170,,,,,,
03/15/2016 0010,10.6,11.83,12.86,170,,,,,,
03/15/2016 0020,10.7,11.94,12.98,171,,,,,,
03/15/2016 0030,10.9,12.17,13.22,172,,,,,,
03/15/2016 0040,11.1,12.39,13.46,171,,,,,,
03/15/2016 0050,11.1,12.39,13.46,169,,,,,,
03/15/2016 0100,11.5,12.84,13.95,169,,,,,,
03/15/2016 0110,11.4,12.73,13.83,170,,,,,,
03/15/2016 0120,11,12.28,13.34,167,,,,,,
03/15/2016 0130,11.3,12.61,13.71,171,,,,,,
03/15/2016 0140,11.1,12.39,13.46,173,,,,,,
03/15/2016 0150,11,12.28,13.34,171,,,,,,
03/15/2016 0200,10.5,11.72,12.74,176,,,,,,
03/15/2016 0210,10.3,11.5,12.49,179,,,,,,
03/15/2016 0220,10.2,11.39,12.37,182,,,,,,
03/15/2016 0230,10.5,11.72,12.74,183,,,,,,
03/15/2016 0240,10.3,11.5,12.49,185,,,,,,
03/15/2016 0250,9.7,10.83,11.77,187,,,,,,
03/15/2016 0300,10.1,11.27,12.25,189,,,,,,
03/15/2016 0310,10.1,11.27,12.25,182,,,,,,
03/15/2016 0320,11.3,12.61,13.71,185,,,,,,
03/15/2016 0330,11.3,12.61,13.71,187,,,,,,
03/15/2016 0340,11.1,12.39,13.46,189,,,,,,
03/15/2016 0350,11.6,12.95,14.07,191,,,,,,
03/15/2016 0400,11.7,13.06,14.19,192,,,,,,
03/15/2016 0410,11.3,12.61,13.71,192,,,,,,
03/15/2016 0420,11.8,13.17,14.31,196,,,,,,
03/15/2016 0430,11.7,13.06,14.19,194,,,,,,
03/15/2016 0440,11.3,12.61,13.71,195,,,,,,
03/15/2016 0450,10.6,11.83,12.86,194,,,,,,
03/15/2016 0500,10.4,11.61,12.62,197,,,,,,
03/15/2016 0510,10.5,11.72,12.74,201,,,,,,
03/15/2016 0520,11.2,12.5,13.59,204,,,,,,
03/15/2016 0530,11.1,12.39,13.46,205,,,,,,
03/15/2016 0540,11.1,12.39,13.46,204,,,,,,
03/15/2016 0550,10.9,12.17,13.22,208,,,,,,
03/15/2016 0600,10.2,11.39,12.37,209,,,,,,
03/15/2016 0610,10.4,11.61,12.62,210,,,,,,
03/15/2016 0620,10.3,11.5,12.49,211,,,,,,
03/15/2016 0630,10.2,11.39,12.37,211,,,,,,
03/15/2016 0640,9.5,10.6,11.52,212,,,,,,
03/15/2016 0650,9.7,10.83,11.77,208,,,,,,
03/15/2016 0700,9.8,10.94,11.89,210,,,,,,
03/15/2016 0710,9.3,10.38,11.28,209,,,,,,
03/15/2016 0720,9.4,10.49,11.4,208,,,,,,
03/15/2016 0730,8.5,9.49,10.31,207,,,,,,
03/15/2016 0740,8.3,9.26,10.07,207,,,,,,
03/15/2016 0750,9,10.05,10.92,202,,,,,,
03/15/2016 0800,8.8,9.82,10.67,204,,,,,,
03/15/2016 0810,8.5,9.49,10.31,204,,,,,,
03/15/2016 0820,8,8.93,9.7,201,,,,,,
03/15/2016 0830,9.6,10.72,11.65,199,,,,,,
03/15/2016 0840,7.1,7.93,8.61,198,,,,,,
03/15/2016 0850,5.9,6.59,7.16,226,,,,,,
03/15/2016 0900,7.2,8.04,8.73,222,,,,,,
03/15/2016 0910,9.3,10.38,11.28,226,,,,,,
03/15/2016 0920,8.3,9.26,10.07,223,,,,,,
03/15/2016 0930,8.5,9.49,10.31,227,,,,,,
03/15/2016 0940,8.9,9.93,10.8,222,,,,,,
03/15/2016 0950,8.3,9.26,10.07,219,,,,,,
03/15/2016 1000,7.4,8.26,8.98,218,,,,,,
03/15/2016 1010,6.9,7.7,8.37,210,,,,,,
03/15/2016 1020,6.5,7.26,7.88,231,,,,,,
03/15/2016 1030,4.4,4.91,5.34,256,,,,,,
03/15/2016 1040,5,5.58,6.07,252,,,,,,
03/15/2016 1050,5.3,5.92,6.43,250,,,,,,
03/15/2016 1100,6.6,7.37,8.01,243,,,,,,
03/15/2016 1110,8.3,9.26,10.07,225,,,,,,
03/15/2016 1120,8.9,9.93,10.8,229,,,,,,
03/15/2016 1130,8.5,9.49,10.31,231,,,,,,
03/15/2016 1140,7.2,8.04,8.73,237,,,,,,
03/15/2016 1150,7,7.81,8.49,235,,,,,,
03/15/2016 1200,7.9,8.82,9.58,231,,,,,,
03/15/2016 1210,8.3,9.26,10.07,231,,,,,,
03/15/2016 1220,9.3,10.38,11.28,232,,,,,,
03/15/2016 1230,9.5,10.6,11.52,228,,,,,,
03/15/2016 1240,8.7,9.71,10.55,228,,,,,,
03/15/2016 1250,7.4,8.26,8.98,231,,,,,,
03/15/2016 1300,7.5,8.37,9.1,223,,,,,,
03/15/2016 1310,8.4,9.38,10.19,211,,,,,,
03/15/2016 1320,10.1,11.27,12.25,206,,,,,,
03/15/2016 1330,11.1,12.39,13.46,227,,,,,,
03/15/2016 1340,8.9,9.93,10.8,225,,,,,,
03/15/2016 1350,9.5,10.6,11.52,228,,,,,,
03/15/2016 1400,8.4,9.38,10.19,226,,,,,,
03/15/2016 1410,8.7,9.71,10.55,228,,,,,,
03/15/2016 1420,8.6,9.6,10.43,237,,,,,,
03/15/2016 1430,9.1,10.16,11.04,238,,,,,,
03/15/2016 1440,8.6,9.6,10.43,243,,,,,,
03/15/2016 1450,7.8,8.71,9.46,248,,,,,,
03/15/2016 1500,8,8.93,9.7,245,,,,,,
03/15/2016 1510,8.8,9.82,10.67,242,,,,,,
03/15/2016 1520,9.6,10.72,11.65,243,,,,,,
03/15/2016 1530,8.9,9.93,10.8,238,,,,,,
03/15/2016 1540,9,10.05,10.92,234,,,,,,
03/15/2016 1550,9.4,10.49,11.4,236,,,,,,
03/15/2016 1600,9.6,10.72,11.65,239,,,,,,
03/15/2016 1610,10.4,11.61,12.62,247,,,,,,
03/15/2016 1620,10.8,12.06,13.1,254,,,,,,
03/15/2016 1630,10.3,11.5,12.49,251,,,,,,
03/15/2016 1640,9.5,10.6,11.52,255,,,,,,
03/15/2016 1650,9.7,10.83,11.77,252,,,,,,
03/15/2016 1700,9.9,11.05,12.01,257,,,,,,
03/15/2016 1710,9.9,11.05,12.01,253,,,,,,
03/15/2016 1720,10.1,11.27,12.25,253,,,,,,
03/15/2016 1730,10,11.16,12.13,255,,,,,,
03/15/2016 1740,10,11.16,12.13,258,,,,,,
03/15/2016 1750,10,11.16,12.13,261,,,,,,
03/15/2016 1800,9.9,11.05,12.01,260,,,,,,
03/15/2016 1810,9.9,11.05,12.01,267,,,,,,
03/15/2016 1820,10,11.16,12.13,270,,,,,,
03/15/2016 1830,9.5,10.6,11.52,267,,,,,,
03/15/2016 1840,10.2,11.39,12.37,265,,,,,,
03/15/2016 1850,10.8,12.06,13.1,284,,,,,,
03/15/2016 1900,10.3,11.5,12.49,285,,,,,,
03/15/2016 1910,10.9,12.17,13.22,283,,,,,,
03/15/2016 1920,10.4,11.61,12.62,286,,,,,,
03/15/2016 1930,10.7,11.94,12.98,288,,,,,,
03/15/2016 1940,11,12.28,13.34,289,,,,,,
03/15/2016 1950,10.6,11.83,12.86,292,,,,,,
03/15/2016 2000,10.3,11.5,12.49,291,,,,,,
03/15/2016 2010,10.2,11.39,12.37,291,,,,,,
03/15/2016 2020,10.4,11.61,12.62,288,,,,,,
03/15/2016 2030,11,12.28,13.34,290,,,,,,
03/15/2016 2040,10.4,11.61,12.62,287,,,,,,
03/15/2016 2050,10.2,11.39,12.37,287,,,,,,
03/15/2016 2100,9.8,10.94,11.89,286,,,,,,
03/15/2016 2110,9.7,10.83,11.77,285,,,,,,
03/15/2016 2120,10,11.16,12.13,292,,,,,,
03/15/2016 2130,10.5,11.72,12.74,294,,,,,,
03/15/2016 2140,9.8,10.94,11.89,287,,,,,,
03/15/2016 2150,9.5,10.6,11.52,288,,,,,,
03/15/2016 2200,9.7,10.83,11.77,287,,,,,,
03/15/2016 2210,9.9,11.05,12.01,286,,,,,,
03/15/2016 2220,9.6,10.72,11.65,287,,,,,,
03/15/2016 2230,9.7,10.83,11.77,290,,,,,,
03/15/2016 2240,10,11.16,12.13,298,,,,,,
03/15/2016 2250,9.8,10.94,11.89,299,,,,,,
03/15/2016 2300,10.7,11.94,12.98,300,,,,,,
03/15/2016 2310,10.4,11.61,12.62,292,,,,,,
03/15/2016 2320,10.2,11.39,12.37,295,,,,,,
03/15/2016 2330,10.4,11.61,12.62,294,,,,,,
03/15/2016 2340,10.5,11.72,12.74,296,,,,,,
03/15/2016 2350,10.3,11.5,12.49,299,,,,,,
03/16/2016 0000,10.8,12.06,13.1,291,,,,,,
03/16/2016 0010,10.6,11.83,12.86,293,,,,,,
03/16/2016 0020,11.1,12.39,13.46,295,,,,,,
03/16/2016 0030,11.5,12.84,13.95,301,,,,,,
03/16/2016 0040,10.9,12.17,13.22,302,,,,,,
03/16/2016 0050,10.7,11.94,12.98,298,,,,,,
03/16/2016 0100,11,12.28,13.34,298,,,,,,
03/16/2016 0110,11.6,12.95,14.07,290,,,,,,
03/16/2016 0120,11.5,12.84,13.95,292,,,,,,
03/16/2016 0130,11,12.28,13.34,298,,,,,,
03/16/2016 0140,11.3,12.61,13.71,293,,,,,,
03/16/2016 0150,10.9,12.17,13.22,294,,,,,,
03/16/2016 0200,11.1,12.39,13.46,300,,,,,,
03/16/2016 0210,10.2,11.39,12.37,299,,,,,,
03/16/2016 0220,10.8,12.06,13.1,299,,,,,,
03/16/2016 0230,10,11.16,12.13,297,,,,,,
03/16/2016 0240,10.1,11.27,12.25,290,,,,,,
03/16/2016 0250,10.3,11.5,12.49,297,,,,,,
03/16/2016 0300,10.5,11.72,12.74,296,,,,,,
03/16/2016 0310,9.9,11.05,12.01,303,,,,,,
03/16/2016 0320,9.6,10.72,11.65,301,,,,,,
03/16/2016 0330,9.7,10.83,11.77,297,,,,,,
03/16/2016 0340,9.5,10.6,11.52,298,,,,,,
03/16/2016 0350,9.9,11.05,12.01,309,,,,,,
03/16/2016 0400,10.4,11.61,12.62,308,,,,,,
03/16/2016 0410,10.1,11.27,12.25,306,,,,,,
03/16/2016 0420,10.2,11.39,12.37,306,,,,,,
03/16/2016 0430,10.2,11.39,12.37,310,,,,,,
03/16/2016 0440,9.4,10.49,11.4,306,,,,,,
03/16/2016 0450,9.6,10.72,11.65,302,,,,,,
03/16/2016 0500,10.1,11.27,12.25,293,,,,,,
03/16/2016 0510,9.9,11.05,12.01,296,,,,,,
03/16/2016 0520,9.8,10.94,11.89,295,,,,,,
03/16/2016 0530,9.6,10.72,11.65,296,,,,,,
03/16/2016 0540,9.9,11.05,12.01,304,,,,,,
03/16/2016 0550,9.6,10.72,11.65,299,,,,,,
03/16/2016 0600,9.4,10.49,11.4,298,,,,,,
03/16/2016 0610,9.1,10.16,11.04,299,,,,,,
03/16/2016 0620,9.2,10.27,11.16,302,,,,,,
03/16/2016 0630,9,10.05,10.92,304,,,,,,
03/16/2016 0640,9.1,10.16,11.04,303,,,,,,
03/16/2016 0650,9.3,10.38,11.28,305,,,,,,
03/16/2016 0700,9.6,10.72,11.65,302,,,,,,
03/16/2016 0710,9.3,10.38,11.28,299,,,,,,
03/16/2016 0720,9.3,10.38,11.28,300,,,,,,
03/16/2016 0730,9.8,10.94,11.89,303,,,,,,
03/16/2016 0740,10,11.16,12.13,300,,,,,,
03/16/2016 0750,9,10.05,10.92,303,,,,,,
03/16/2016 0800,8.4,9.38,10.19,311,,,,,,
03/16/2016 0810,8.6,9.6,10.43,305,,,,,,
03/16/2016 0820,8.6,9.6,10.43,308,,,,,,
03/16/2016 0830,8.2,9.15,9.95,309,,,,,,
03/16/2016 0840,8.5,9.49,10.31,313,,,,,,
03/16/2016 0850,8.2,9.15,9.95,312,,,,,,
03/16/2016 0900,8.5,9.49,10.31,305,,,,,,
03/16/2016 0910,8.4,9.38,10.19,300,,,,,,
03/16/2016 0920,8.1,9.04,9.83,307,,,,,,
03/16/2016 0930,8,8.93,9.7,306,,,,,,
03/16/2016 0940,8.1,9.04,9.83,309,,,,,,
03/16/2016 0950,8.2,9.15,9.95,317,,,,,,
03/16/2016 1000,8,8.93,9.7,306,,,,,,
03/16/2016 1010,8,8.93,9.7,310,,,,,,
03/16/2016 1020,7.6,8.48,9.22,312,,,,,,
03/16/2016 1030,7.9,8.82,9.58,312,,,,,,
03/16/2016 1040,7.8,8.71,9.46,310,,,,,,
03/16/2016 1050,7.6,8.48,9.22,304,,,,,,
03/16/2016 1100,8.1,9.04,9.83,304,,,,,,
03/16/2016 1110,7.8,8.71,9.46,299,,,,,,
03/16/2016 1120,8.3,9.26,10.07,302,,,,,,
03/16/2016 1130,7.9,8.82,9.58,303,,,,,,
03/16/2016 1140,7.8,8.71,9.46,310,,,,,,
03/16/2016 1150,7.5,8.37,9.1,306,,,,,,
03/16/2016 1200,6.8,7.59,8.25,315,,,,,,
03/16/2016 1210,7.3,8.15,8.86,313,,,,,,
03/16/2016 1220,7.3,8.15,8.86,317,,,,,,
03/16/2016 1230,7.1,7.93,8.61,313,,,,,,
03/16/2016 1240,6.6,7.37,8.01,313,,,,,,
03/16/2016 1250,6.4,7.14,7.76,316,,,,,,
03/16/2016 1300,6,6.7,7.28,319,,,,,,
03/16/2016 1310,6.1,6.81,7.4,316,,,,,,
03/16/2016 1320,5.9,6.59,7.16,316,,,,,,
03/16/2016 1330,5.7,6.36,6.91,325,,,,,,
03/16/2016 1340,5.3,5.92,6.43,318,,,,,,
03/16/2016 1350,4.9,5.47,5.94,309,,,,,,
03/16/2016 1400,4.8,5.36,5.82,314,,,,,,
03/16/2016 1410,4.6,5.13,5.58,303,,,,,,
03/16/2016 1420,4.3,4.8,5.22,304,,,,,,
03/16/2016 1430,4.6,5.13,5.58,304,,,,,,
03/16/2016 1440,4.4,4.91,5.34,288,,,,,,
03/16/2016 1450,4.3,4.8,5.22,288,,,,,,
03/16/2016 1500,3.5,3.91,4.25,276,,,,,,
03/16/2016 1510,3.9,4.35,4.73,282,,,,,,
03/16/2016 1520,3.7,4.13,4.49,279,,,,,,
03/16/2016 1530,3.7,4.13,4.49,270,,,,,,
03/16/2016 1540,3,3.35,3.64,289,,,,,,
03/16/2016 1550,3.8,4.24,4.61,273,,,,,,
03/16/2016 1600,3.2,3.57,3.88,267,,,,,,
03/16/2016 1610,3,3.35,3.64,266,,,,,,
03/16/2016 1620,3.2,3.57,3.88,271,,,,,,
03/16/2016 1630,2.8,3.13,3.4,265,,,,,,
03/16/2016 1640,3.1,3.46,3.76,265,,,,,,
03/16/2016 1650,2.2,2.46,2.67,248,,,,,,
03/16/2016 1700,2.5,2.79,3.03,247,,,,,,
03/16/2016 1710,2.4,2.68,2.91,244,,,,,,
03/16/2016 1720,2,2.23,2.43,237,,,,,,
03/16/2016 1730,1.7,1.9,2.06,229,,,,,,
03/16/2016 1740,2.1,2.34,2.55,224,,,,,,
03/16/2016 1750,2.1,2.34,2.55,200,,,,,,
03/16/2016 1800,2.6,2.9,3.15,207,,,,,,
03/16/2016 1810,3.2,3.57,3.88,204,,,,,,
03/16/2016 1820,3.4,3.8,4.12,204,,,,,,
03/16/2016 1830,4,4.46,4.85,209,,,,,,
03/16/2016 1840,4.3,4.8,5.22,204,,,,,,
03/16/2016 1850,5.1,5.69,6.19,202,,,,,,
03/16/2016 1900,5.1,5.69,6.19,202,,,,,,
03/16/2016 1910,5.4,6.03,6.55,202,,,,,,
03/16/2016 1920,6,6.7,7.28,199,,,,,,
03/16/2016 1930,5.9,6.59,7.16,197,,,,,,
03/16/2016 1940,6.4,7.14,7.76,196,,,,,,
03/16/2016 1950,6.9,7.7,8.37,193,,,,,,
03/16/2016 2000,7.1,7.93,8.61,191,,,,,,
03/16/2016 2010,7.5,8.37,9.1,190,,,,,,
03/16/2016 2020,7.6,8.48,9.22,191,,,,,,
03/16/2016 2030,7.7,8.59,9.34,188,,,,,,
03/16/2016 2040,8.1,9.04,9.83,191,,,,,,
03/16/2016 2050,8,8.93,9.7,191,,,,,,
03/16/2016 2100,8.5,9.49,10.31,194,,,,,,
03/16/2016 2110,8.3,9.26,10.07,195,,,,,,
03/16/2016 2120,8.1,9.04,9.83,192,,,,,,
03/16/2016 2130,8.5,9.49,10.31,192,,,,,,
03/16/2016 2140,8.8,9.82,10.67,191,,,,,,
03/16/2016 2150,8.9,9.93,10.8,194,,,,,,
03/16/2016 2200,8.4,9.38,10.19,193,,,,,,
03/16/2016 2210,8.9,9.93,10.8,193,,,,,,
03/16/2016 2220,8.7,9.71,10.55,198,,,,,,
03/16/2016 2230,8.8,9.82,10.67,200,,,,,,
03/16/2016 2240,9.4,10.49,11.4,200,,,,,,
03/16/2016 2250,9.2,10.27,11.16,197,,,,,,
03/16/2016 2300,9.4,10.49,11.4,202,,,,,,
03/16/2016 2310,9.8,10.94,11.89,205,,,,,,
03/16/2016 2320,9.5,10.6,11.52,205,,,,,,
03/16/2016 2330,9.6,10.72,11.65,212,,,,,,
03/16/2016 2340,9.7,10.83,11.77,213,,,,,,
03/16/2016 2350,9.7,10.83,11.77,212,,,,,,
03/17/2016 0000,9.8,10.94,11.89,212,,,,,,
03/17/2016 0010,10,11.16,12.13,215,,,,,,
03/17/2016 0020,10.1,11.27,12.25,216,,,,,,
03/17/2016 0030,9.7,10.83,11.77,217,,,,,,
03/17/2016 0040,9,10.05,10.92,214,,,,,,
03/17/2016 0050,9.1,10.16,11.04,213,,,,,,
03/17/2016 0100,9.4,10.49,11.4,210,,,,,,
03/17/2016 0110,9.2,10.27,11.16,210,,,,,,
03/17/2016 0120,9.5,10.6,11.52,209,,,,,,
03/17/2016 0130,9.5,10.6,11.52,208,,,,,,
03/17/2016 0140,8.9,9.93,10.8,205,,,,,,
03/17/2016 0150,9.1,10.16,11.04,206,,,,,,
03/17/2016 0200,9.5,10.6,11.52,205,,,,,,
03/17/2016 0210,9.6,10.72,11.65,203,,,,,,
03/17/2016 0220,10,11.16,12.13,200,,,,,,
03/17/2016 0230,9.9,11.05,12.01,200,,,,,,
03/17/2016 0240,9.8,10.94,11.89,201,,,,,,
03/17/2016 0250,9.7,10.83,11.77,206,,,,,,
03/17/2016 0300,10.4,11.61,12.62,207,,,,,,
03/17/2016 0310,10.6,11.83,12.86,211,,,,,,
03/17/2016 0320,10.8,12.06,13.1,210,,,,,,
03/17/2016 0330,10.6,11.83,12.86,212,,,,,,
03/17/2016 0340,10.2,11.39,12.37,219,,,,,,
03/17/2016 0350,11.1,12.39,13.46,223,,,,,,
03/17/2016 0400,11,12.28,13.34,228,,,,,,
03/17/2016 0410,11,12.28,13.34,228,,,,,,
03/17/2016 0420,10.6,11.83,12.86,224,,,,,,
03/17/2016 0430,11,12.28,13.34,222,,,,,,
03/17/2016 0440,10.5,11.72,12.74,221,,,,,,
03/17/2016 0450,10.6,11.83,12.86,224,,,,,,
03/17/2016 0500,10.5,11.72,12.74,224,,,,,,
03/17/2016 0510,10.5,11.72,12.74,227,,,,,,
03/17/2016 0520,10.4,11.61,12.62,228,,,,,,
03/17/2016 0530,10.3,11.5,12.49,229,,,,,,
03/17/2016 0540,10.3,11.5,12.49,230,,,,,,
03/17/2016 0550,10.9,12.17,13.22,230,,,,,,
03/17/2016 0600,10.9,12.17,13.22,229,,,,,,
03/17/2016 0610,10.5,11.72,12.74,229,,,,,,
03/17/2016 0620,10.1,11.27,12.25,228,,,,,,
03/17/2016 0630,10,11.16,12.13,228,,,,,,
03/17/2016 0640,9.6,10.72,11.65,229,,,,,,
03/17/2016 0650,9.9,11.05,12.01,228,,,,,,
03/17/2016 0700,9.6,10.72,11.65,229,,,,,,
03/17/2016 0710,9.1,10.16,11.04,229,,,,,,
03/17/2016 0720,9,10.05,10.92,230,,,,,,
03/17/2016 0730,9,10.05,10.92,236,,,,,,
03/17/2016 0740,9.9,11.05,12.01,244,,,,,,
03/17/2016 0750,9.7,10.83,11.77,244,,,,,,
03/17/2016 0800,9.7,10.83,11.77,244,,,,,,
03/17/2016 0810,9.9,11.05,12.01,243,,,,,,
03/17/2016 0820,9.6,10.72,11.65,243,,,,,,
03/17/2016 0830,9.3,10.38,11.28,240,,,,,,
03/17/2016 0840,9.2,10.27,11.16,240,,,,,,
03/17/2016 0850,9.1,10.16,11.04,239,,,,,,
03/17/2016 0900,8.6,9.6,10.43,238,,,,,,
03/17/2016 0910,8.7,9.71,10.55,238,,,,,,
03/17/2016 0920,8.7,9.71,10.55,240,,,,,,
03/17/2016 0930,8.8,9.82,10.67,240,,,,,,
03/17/2016 0940,8,8.93,9.7,239,,,,,,
03/17/2016 0950,8.8,9.82,10.67,237,,,,,,
03/17/2016 1000,8.2,9.15,9.95,238,,,,,,
03/17/2016 1010,8.3,9.26,10.07,239,,,,,,
