DateTime,AVGPD/A048W,DOMPD/A048W,WVHGT/A048W,WWHGT/A048W,WWPD/A048W,,,,,,,,
09/03/2018 0240,5.04,6.67,0.88,0.46,3.7,,,,,,,,
09/03/2018 0340,5.35,7.69,0.95,0.42,3.4,,,,,,,,
09/03/2018 0440,5.08,7.69,0.92,0.42,3.7,,,,,,,,
09/03/2018 0540,5.34,9.09,0.86,0.4,3.8,,,,,,,,
09/03/2018 0640,5.45,7.69,0.88,0.37,3.8,,,,,,,,
09/03/2018 0740,5.18,7.69,0.9,0.41,3.6,,,,,,,,
09/03/2018 0840,5.36,6.67,0.89,0.52,4,,,,,,,,
09/03/2018 0940,5.47,9.09,0.9,0.41,4.3,,,,,,,,
09/03/2018 1040,5.38,7.14,0.87,0.39,3.8,,,,,,,,
09/03/2018 1140,4.97,7.14,0.85,0.4,3.6,,,,,,,,
09/03/2018 1240,5.23,9.09,0.87,0.42,3.8,,,,,,,,
09/03/2018 1340,5.18,8.33,0.88,0.41,3.8,,,,,,,,
09/03/2018 1440,5.19,8.33,0.88,0.39,3.6,,,,,,,,
09/03/2018 1540,5.44,7.69,0.84,0.34,3.8,,,,,,,,
09/03/2018 1640,5.17,7.69,0.78,0.39,3.7,,,,,,,,
09/03/2018 1740,5.37,7.14,0.87,0.38,3.8,,,,,,,,
09/03/2018 1840,5.1,9.09,0.84,0.38,3.7,,,,,,,,
09/03/2018 1940,5.11,8.33,0.8,0.37,4.2,,,,,,,,
09/03/2018 2040,5.46,8.33,0.86,0.33,3.6,,,,,,,,
09/03/2018 2140,5.38,7.69,0.8,0.36,3.3,,,,,,,,
09/03/2018 2240,5.28,10,0.88,0.39,3.8,,,,,,,,
09/03/2018 2340,5.24,10,0.83,0.36,4,,,,,,,,
09/04/2018 0040,5.13,10,0.85,0.45,3.7,,,,,,,,
09/04/2018 0140,4.96,7.69,0.82,0.4,3.3,,,,,,,,
09/04/2018 0240,5.12,7.69,0.82,0.39,3.6,,,,,,,,
09/04/2018 0340,5.3,9.09,0.83,0.39,4,,,,,,,,
09/04/2018 0440,5.2,8.33,0.83,0.38,3.8,,,,,,,,
09/04/2018 0540,5.24,7.69,0.85,0.47,4,,,,,,,,
09/04/2018 0640,5.11,9.09,0.82,0.37,3.4,,,,,,,,
09/04/2018 0740,5.18,7.69,0.87,0.47,4.3,,,,,,,,
09/04/2018 0840,5.35,10.81,0.87,0.45,3.8,,,,,,,,
09/04/2018 0940,5.21,7.69,0.93,0.52,3.7,,,,,,,,
09/04/2018 1040,5.19,7.69,0.93,0.52,4.2,,,,,,,,
09/04/2018 1140,4.9,7.14,0.96,0.61,4.3,,,,,,,,
09/04/2018 1240,4.97,9.09,0.98,0.61,4,,,,,,,,
09/04/2018 1340,4.85,8.33,0.99,0.63,4,,,,,,,,
09/04/2018 1440,5.06,7.14,0.99,0.57,4.2,,,,,,,,
09/04/2018 1540,5.06,7.69,0.97,0.57,4.2,,,,,,,,
09/04/2018 1640,5.12,10,0.99,0.58,4.3,,,,,,,,
09/04/2018 1740,5.29,9.09,1,0.43,3.8,,,,,,,,
09/04/2018 1840,5.35,9.09,0.98,0.4,3.7,,,,,,,,
09/04/2018 1940,5.47,8.33,1,0.49,4.3,,,,,,,,
09/04/2018 2040,5.53,9.09,0.96,0.36,3.7,,,,,,,,
09/04/2018 2140,5.72,9.09,1.02,0.37,3.3,,,,,,,,
09/04/2018 2240,5.68,9.09,1.01,0.46,4.3,,,,,,,,
09/04/2018 2340,5.55,8.33,0.99,0.5,5,,,,,,,,
09/05/2018 0040,5.54,7.69,0.99,0.43,4.2,,,,,,,,
09/05/2018 0140,5.46,9.09,1.03,0.51,4.5,,,,,,,,
09/05/2018 0240,5.67,8.33,1.12,0.5,4.3,,,,,,,,
09/05/2018 0340,5.96,7.69,1.15,0.43,4.3,,,,,,,,
09/05/2018 0440,5.6,7.69,1.08,0.51,4.2,,,,,,,,
09/05/2018 0540,5.95,8.33,1.18,0.48,4.5,,,,,,,,
09/05/2018 0640,5.72,7.69,1.16,0.59,5.3,,,,,,,,
09/05/2018 0740,5.51,8.33,1.14,0.58,3.4,,,,,,,,
09/05/2018 0840,5.44,9.09,1.13,0.58,4.3,,,,,,,,
09/05/2018 0940,5.4,7.14,1.16,0.64,4.3,,,,,,,,
09/05/2018 1040,5.34,9.09,1.18,0.63,4.2,,,,,,,,
09/05/2018 1140,5.47,8.33,1.16,0.71,4.8,,,,,,,,
09/05/2018 1240,5.44,7.69,1.16,0.67,4.2,,,,,,,,
09/05/2018 1340,5.4,7.69,1.18,0.69,5,,,,,,,,
09/05/2018 1440,5.32,10,1.31,0.84,5,,,,,,,,
09/05/2018 1540,5.17,8.33,1.23,0.73,4.5,,,,,,,,
09/05/2018 1640,5.33,7.69,1.28,0.73,4.8,,,,,,,,
09/05/2018 1740,5.29,7.69,1.29,0.74,5,,,,,,,,
09/05/2018 1840,5.7,5.88,1.35,0.56,4.2,,,,,,,,
09/05/2018 1940,5.54,7.69,1.34,0.45,3.6,,,,,,,,
09/05/2018 2040,5.59,8.33,1.27,0.43,4,,,,,,,,
09/05/2018 2140,5.75,8.33,1.28,0.44,4.2,,,,,,,,
09/05/2018 2240,5.61,8.33,1.1,0.54,4,,,,,,,,
09/05/2018 2340,5.56,8.33,1.21,0.59,3.4,,,,,,,,
09/06/2018 0040,5.51,8.33,1.14,0.58,4.8,,,,,,,,
09/06/2018 0140,5.64,7.69,1.22,0.59,5,,,,,,,,
09/06/2018 0240,5.43,8.33,1.19,0.6,4.5,,,,,,,,
09/06/2018 0340,5.53,7.14,1.24,0.62,4.5,,,,,,,,
09/06/2018 0440,5.37,9.09,1.2,0.64,4,,,,,,,,
09/06/2018 0540,5.57,8.33,1.19,0.56,4.8,,,,,,,,
09/06/2018 0640,5.61,9.09,1.21,0.58,4.8,,,,,,,,
09/06/2018 0740,5.67,10,1.21,0.52,4.2,,,,,,,,
09/06/2018 0840,5.41,7.69,1.09,0.41,4,,,,,,,,
09/06/2018 0940,5.41,9.09,1.15,0.59,4.3,,,,,,,,
09/06/2018 1040,5.5,8.33,1.15,0.54,4.3,,,,,,,,
09/06/2018 1140,5.63,8.33,1.21,0.51,4.2,,,,,,,,
09/06/2018 1240,5.72,10,1.21,0.59,4.8,,,,,,,,
09/06/2018 1340,5.64,9.09,1.16,0.57,4.8,,,,,,,,
09/06/2018 1440,5.44,8.33,1.14,0.55,4.8,,,,,,,,
09/06/2018 1540,5.57,10,1.27,0.6,4.3,,,,,,,,
09/06/2018 1640,5.59,9.09,1.19,0.66,5.3,,,,,,,,
09/06/2018 1740,5.38,10,1.17,0.63,5,,,,,,,,
09/06/2018 1840,5.51,10,1.18,0.61,4.2,,,,,,,,
09/06/2018 1940,5.48,10,1.2,0.79,5.6,,,,,,,,
09/06/2018 2040,5.29,9.09,1.23,0.63,4.3,,,,,,,,
09/06/2018 2140,5.56,9.09,1.15,0.56,4.3,,,,,,,,
09/06/2018 2240,5.43,9.09,1.2,0.49,4,,,,,,,,
09/06/2018 2340,5.59,9.09,1.14,0.65,4.8,,,,,,,,
09/07/2018 0040,5.39,8.33,1.14,0.73,5.3,,,,,,,,
09/07/2018 0140,5.48,13.79,1.22,0.77,5.6,,,,,,,,
09/07/2018 0240,5.38,10,1.22,0.81,5.6,,,,,,,,
09/07/2018 0340,5.6,10,1.2,0.61,4.5,,,,,,,,
09/07/2018 0440,5.6,10,1.21,0.55,4.3,,,,,,,,
09/07/2018 0540,5.56,13.79,1.22,0.54,4.3,,,,,,,,
09/07/2018 0640,6.12,12.9,1.37,0.46,4.2,,,,,,,,
09/07/2018 0740,5.83,12.9,1.32,0.55,4.5,,,,,,,,
09/07/2018 0840,6.08,12.9,1.38,0.55,4.3,,,,,,,,
09/07/2018 0940,6.23,12.9,1.44,0.58,4.2,,,,,,,,
09/07/2018 1040,6.05,12.9,1.39,0.6,4.8,,,,,,,,
09/07/2018 1140,6.33,12.9,1.51,0.5,3.4,,,,,,,,
09/07/2018 1240,6.9,12.12,1.55,0.51,3.8,,,,,,,,
09/07/2018 1340,6.19,12.12,1.53,1.04,7.1,,,,,,,,
09/07/2018 1440,5.7,7.69,1.57,1.05,6.7,,,,,,,,
09/07/2018 1540,5.71,12.12,1.56,1.04,5.6,,,,,,,,
09/07/2018 1640,5.78,12.12,1.58,0.93,5.3,,,,,,,,
09/07/2018 1740,6.05,11.43,1.64,0.49,3.8,,,,,,,,
09/07/2018 1840,6.36,11.43,1.7,0.46,3.6,,,,,,,,
09/07/2018 1940,6.37,12.12,1.61,0.42,3.6,,,,,,,,
09/07/2018 2040,6.42,12.12,1.57,0.38,3.7,,,,,,,,
09/07/2018 2140,7.06,11.43,1.7,0.56,4,,,,,,,,
09/07/2018 2240,6.88,11.43,1.66,0.45,4.3,,,,,,,,
09/07/2018 2340,6.81,12.9,1.63,0.47,4,,,,,,,,
09/08/2018 0040,7.06,11.43,1.74,0.57,5,,,,,,,,
09/08/2018 0140,6.45,12.9,1.55,0.6,4.2,,,,,,,,
09/08/2018 0240,6.92,10.81,1.63,0.52,4.3,,,,,,,,
09/08/2018 0340,6.53,12.9,1.56,0.6,4.8,,,,,,,,
09/08/2018 0440,7.28,12.12,1.79,0.42,4,,,,,,,,
09/08/2018 0540,7.11,13.79,1.79,0.42,3.8,,,,,,,,
09/08/2018 0640,7.4,12.12,1.78,0.39,3.6,,,,,,,,
09/08/2018 0740,7.19,12.9,1.73,0.42,4,,,,,,,,
09/08/2018 0840,7.45,12.9,1.59,0.35,4,,,,,,,,
09/08/2018 0940,8.24,13.79,1.83,0.32,4,,,,,,,,
09/08/2018 1040,8.37,12.9,1.77,0.31,3.6,,,,,,,,
09/08/2018 1140,9.19,12.9,2.01,0.28,3.8,,,,,,,,
09/08/2018 1240,9.17,12.9,1.94,0.26,3.7,,,,,,,,
09/08/2018 1340,9.37,12.9,1.91,0.22,3.1,,,,,,,,
09/08/2018 1440,9.18,12.9,1.79,0.22,3.8,,,,,,,,
09/08/2018 1540,9.17,12.9,1.77,0.21,3.8,,,,,,,,
09/08/2018 1640,9.88,12.9,2.11,0.22,3.7,,,,,,,,
09/08/2018 1740,9.46,12.12,2.01,0.25,4,,,,,,,,
09/08/2018 1840,8.81,12.12,1.72,0.25,3.7,,,,,,,,
09/08/2018 1940,8.92,12.12,1.71,0.28,3.6,,,,,,,,
09/08/2018 2040,8.39,12.12,1.43,0.25,3.7,,,,,,,,
09/08/2018 2140,8.63,12.12,1.48,0.25,3.3,,,,,,,,
09/08/2018 2240,8.67,12.9,1.34,0.21,3.3,,,,,,,,
09/08/2018 2340,8.81,12.12,1.33,0.19,3.8,,,,,,,,
09/09/2018 0040,9.87,13.79,1.7,0.17,4,,,,,,,,
09/09/2018 0140,9.34,12.9,1.48,0.17,3.6,,,,,,,,
09/09/2018 0240,9.34,12.12,1.44,0.17,3.8,,,,,,,,
09/09/2018 0340,9.47,12.9,1.42,0.16,3.4,,,,,,,,
09/09/2018 0440,9.48,12.12,1.45,0.15,3.7,,,,,,,,
09/09/2018 0540,9.68,12.12,1.68,0.17,3.6,,,,,,,,
09/09/2018 0640,9.59,12.12,1.62,0.17,3.8,,,,,,,,
09/09/2018 0740,9.45,12.12,1.57,0.17,4,,,,,,,,
09/09/2018 0840,9.17,11.43,1.48,0.16,3.8,,,,,,,,
09/09/2018 0940,9.33,10.81,1.45,0.15,3.8,,,,,,,,
09/09/2018 1040,9.53,11.43,1.45,0.17,3.8,,,,,,,,
09/09/2018 1140,9.52,12.12,1.46,0.15,3.3,,,,,,,,
09/09/2018 1240,9.62,12.9,1.45,0.14,3.8,,,,,,,,
09/09/2018 1340,9.61,11.43,1.43,0.14,3.7,,,,,,,,
09/09/2018 1440,9.86,12.12,1.52,0.14,4,,,,,,,,
09/09/2018 1540,9.72,11.43,1.48,0.13,3.6,,,,,,,,
09/09/2018 1640,9.74,12.9,1.43,0.14,4,,,,,,,,
09/09/2018 1740,10.11,12.9,1.53,0.12,3.3,,,,,,,,
09/09/2018 1840,10.18,12.12,1.67,0.14,3.7,,,,,,,,
09/09/2018 1940,9.41,11.43,1.47,0.14,3.7,,,,,,,,
09/09/2018 2040,9.67,11.43,1.52,0.14,3.8,,,,,,,,
09/09/2018 2140,9.71,11.43,1.56,0.13,3.6,,,,,,,,
09/09/2018 2240,9.78,12.12,1.5,0.13,3.8,,,,,,,,
09/09/2018 2340,9.64,12.12,1.65,0.14,3.7,,,,,,,,
09/10/2018 0040,9.61,10.81,1.43,0.13,4,,,,,,,,
09/10/2018 0140,9.6,12.12,1.52,0.13,3.8,,,,,,,,
09/10/2018 0240,9.52,12.12,1.42,0.14,4,,,,,,,,
09/10/2018 0340,9.53,11.43,1.55,0.16,4,,,,,,,,
09/10/2018 0440,10.01,12.12,1.76,0.15,3.7,,,,,,,,
09/10/2018 0540,10.26,11.43,2,0.15,3.8,,,,,,,,
09/10/2018 0640,10.01,12.12,1.69,0.14,4,,,,,,,,
09/10/2018 0740,10.39,11.43,2.01,0.14,4,,,,,,,,
09/10/2018 0840,9.74,11.43,1.47,0.14,4,,,,,,,,
09/10/2018 0940,10.29,11.43,1.93,0.14,4,,,,,,,,
09/10/2018 1040,9.7,11.43,1.62,0.13,3.8,,,,,,,,
09/10/2018 1140,9.62,10.81,1.46,0.13,4,,,,,,,,
09/10/2018 1240,9.91,11.43,1.88,0.12,3.7,,,,,,,,
09/10/2018 1340,9.48,11.43,1.53,0.11,3.6,,,,,,,,
09/10/2018 1440,9.35,10,1.96,0.12,3.1,,,,,,,,
09/10/2018 1540,9.13,11.43,1.6,0.13,4,,,,,,,,
09/10/2018 1640,9.42,11.43,1.73,0.11,3.8,,,,,,,,
09/10/2018 1740,8.71,10,1.61,0.13,3.7,,,,,,,,
09/10/2018 1840,8.72,10.81,1.73,0.11,3.8,,,,,,,,
09/10/2018 1940,8.77,10.81,1.76,0.11,3.6,,,,,,,,
09/10/2018 2040,8.8,10.81,1.72,0.12,3.6,,,,,,,,
09/10/2018 2140,8.67,10.81,1.62,0.12,3.8,,,,,,,,
09/10/2018 2240,9.01,10.81,1.79,0.11,3.7,,,,,,,,
09/10/2018 2340,8.24,10,1.51,0.17,4,,,,,,,,
09/11/2018 0040,7.83,10.81,1.57,0.28,2.5,,,,,,,,
09/11/2018 0140,7.56,10.81,1.57,0.36,2.7,,,,,,,,
09/11/2018 0240,7.06,10.81,1.58,0.43,3.2,,,,,,,,
09/11/2018 0340,7.55,10.81,1.59,0.36,3.3,,,,,,,,
09/11/2018 0440,7.26,10,1.52,0.36,3.3,,,,,,,,
09/11/2018 0540,7.42,8.33,1.55,0.36,3.4,,,,,,,,
09/11/2018 0640,7.09,8.33,1.42,0.41,3.4,,,,,,,,
09/11/2018 0740,7.66,8.33,1.6,0.35,3.7,,,,,,,,
09/11/2018 0840,7.63,10.81,1.65,0.39,3.7,,,,,,,,
09/11/2018 0940,7.73,10,1.9,0.5,3.7,,,,,,,,
09/11/2018 1040,7.45,10.81,1.88,0.58,4.2,,,,,,,,
09/11/2018 1140,7.12,10.81,1.84,0.72,4,,,,,,,,
09/11/2018 1240,6.86,11.43,1.87,0.78,4.3,,,,,,,,
09/11/2018 1340,6.86,10.81,2.03,0.94,4,,,,,,,,
09/11/2018 1440,6.93,12.12,2,0.94,4.8,,,,,,,,
09/11/2018 1540,6.74,12.12,1.98,0.98,4.3,,,,,,,,
09/11/2018 1640,6.99,11.43,2.1,0.93,5,,,,,,,,
09/11/2018 1740,7.47,10,2.4,0.99,4.8,,,,,,,,
09/11/2018 1840,7.15,12.9,2.22,1.08,5.3,,,,,,,,
09/11/2018 1940,7.54,11.43,2.51,0.99,4.3,,,,,,,,
09/11/2018 2040,7.6,12.12,2.7,1.24,5,,,,,,,,
09/11/2018 2140,7.86,12.9,2.85,1.21,4.8,,,,,,,,
09/11/2018 2240,8.16,12.9,2.92,1.35,5.9,,,,,,,,
09/11/2018 2340,7.84,13.79,3.05,1.72,8.3,,,,,,,,
09/12/2018 0040,7.89,12.9,3.17,1.72,5.9,,,,,,,,
09/12/2018 0140,8.39,12.9,3.73,1.9,6.7,,,,,,,,
09/12/2018 0240,8.25,12.12,3.87,2.38,6.2,,,,,,,,
09/12/2018 0340,8.68,14.81,4.6,2.58,6.7,,,,,,,,
09/12/2018 0440,9.05,14.81,4.85,2.41,7.1,,,,,,,,
09/12/2018 0540,9.26,14.81,5.3,2.74,8.3,,,,,,,,
09/12/2018 0640,9.53,12.12,5.88,2.93,9.1,,,,,,,,
09/12/2018 0740,10.2,14.81,7.12,3.96,7.1,,,,,,,,
09/12/2018 0840,10.21,14.81,7.83,4.29,7.1,,,,,,,,
09/12/2018 0940,10.1,14.81,7.83,5.72,12.1,,,,,,,,
09/12/2018 1040,11.03,16,9.38,6.07,12.1,,,,,,,,
09/12/2018 1140,10.46,13.79,8.9,6.97,8.3,,,,,,,,
09/12/2018 1240,10,14.81,8.59,6.49,10,,,,,,,,
09/12/2018 1340,10.31,14.81,9.51,6.8,11.4,,,,,,,,
09/12/2018 1440,10.39,13.79,9.91,9.91,13.8,,,,,,,,
09/12/2018 1540,10.47,13.79,10.4,10.4,13.8,,,,,,,,
09/12/2018 1640,10.94,13.79,10.64,10.64,13.8,,,,,,,,
09/12/2018 1740,10.71,13.79,10.26,10.26,13.8,,,,,,,,
09/12/2018 1840,9.72,13.79,8.45,8.45,13.8,,,,,,,,
09/12/2018 1940,10.08,12.12,9.37,9.37,12.1,,,,,,,,
09/12/2018 2040,9.61,12.12,8.8,8.8,12.1,,,,,,,,
09/12/2018 2140,8.87,10.81,7.27,7.27,10.8,,,,,,,,
09/12/2018 2240,8.67,11.43,6.72,6.72,11.4,,,,,,,,
09/12/2018 2340,8.12,11.43,6.29,5.47,10,,,,,,,,
09/13/2018 0040,8.1,10.81,5.85,4.74,5.6,,,,,,,,
09/13/2018 0140,8.22,10.81,5.78,3.69,6.7,,,,,,,,
09/13/2018 0240,7.8,10,5.33,5.27,10,,,,,,,,
09/13/2018 0340,7.8,10.81,5.1,5.1,10.8,,,,,,,,
09/13/2018 0440,7.62,10,4.68,4.68,10,,,,,,,,
09/13/2018 0540,7.81,10,4.84,4.84,10,,,,,,,,
09/13/2018 0640,7.7,10.81,4.49,2.6,5.9,,,,,,,,
09/13/2018 0740,7.48,10,4.23,3.12,6.7,,,,,,,,
09/13/2018 0840,7.23,10,3.95,3.95,10,,,,,,,,
09/13/2018 0940,7.42,9.09,4.35,4.35,9.1,,,,,,,,
09/13/2018 1040,7,9.09,3.77,3.6,9.1,,,,,,,,
09/13/2018 1140,7.45,9.09,4.47,4.47,9.1,,,,,,,,
09/13/2018 1240,7.37,10,3.95,3.23,8.3,,,,,,,,
09/13/2018 1340,7.16,9.09,3.9,3.36,9.1,,,,,,,,
09/13/2018 1440,7.11,10,3.66,3.02,8.3,,,,,,,,
09/13/2018 1540,7,10,3.5,2.55,7.7,,,,,,,,
09/13/2018 1640,7.01,9.09,3.48,2.64,7.7,,,,,,,,
09/13/2018 1740,6.66,7.14,3.11,2.73,7.1,,,,,,,,
09/13/2018 1840,6.79,10.81,3.09,2.32,7.7,,,,,,,,
09/13/2018 1940,6.51,10,2.73,1.92,6.2,,,,,,,,
09/13/2018 2040,6.96,10,2.97,1.65,6.7,,,,,,,,
09/13/2018 2140,6.97,10,2.94,1.79,6.2,,,,,,,,
09/13/2018 2240,6.93,9.09,2.76,1.47,6.2,,,,,,,,
09/13/2018 2340,7.02,11.43,2.73,1.36,5.3,,,,,,,,
09/14/2018 0040,7.44,11.43,2.99,1.42,6.7,,,,,,,,
09/14/2018 0140,7.54,11.43,2.78,1.22,5.9,,,,,,,,
09/14/2018 0240,6.82,10.81,2.28,1.31,7.1,,,,,,,,
09/14/2018 0340,6.84,10.81,2.37,1.32,5.9,,,,,,,,
09/14/2018 0440,7.07,10,2.47,1.15,4.8,,,,,,,,
09/14/2018 0540,7,10.81,2.35,0.95,4.8,,,,,,,,
09/14/2018 0640,7.13,10,2.34,0.94,5.6,,,,,,,,
09/14/2018 0740,7.35,10,2.41,0.84,5.6,,,,,,,,
09/14/2018 0840,7.31,10,2.26,0.54,4,,,,,,,,
09/14/2018 0940,7.42,10,2.34,0.57,4.3,,,,,,,,
09/14/2018 1040,7.72,10,2.58,0.43,3.8,,,,,,,,
09/14/2018 1140,7.85,10,2.72,0.4,3.8,,,,,,,,
09/14/2018 1240,7.61,11.43,2.45,0.4,3.7,,,,,,,,
09/14/2018 1340,7.63,10.81,2.44,0.39,3.2,,,,,,,,
09/14/2018 1440,7.78,10.81,2.55,0.39,4,,,,,,,,
09/14/2018 1540,7.69,11.43,2.3,0.42,3.8,,,,,,,,
09/14/2018 1640,7.7,10.81,2.46,0.4,3.7,,,,,,,,
09/14/2018 1740,7.81,11.43,2.43,0.4,3.4,,,,,,,,
09/14/2018 1840,7.67,10.81,2.27,0.4,2.9,,,,,,,,
09/14/2018 1940,7.82,10,2.26,0.38,3.7,,,,,,,,
09/14/2018 2040,7.68,10,2.25,0.39,3.8,,,,,,,,
09/14/2018 2140,7.98,10,2.58,0.41,3.6,,,,,,,,
09/14/2018 2240,8.01,10.81,2.41,0.43,3.3,,,,,,,,
09/14/2018 2340,7.79,10.81,2.35,0.43,4,,,,,,,,
09/15/2018 0040,7.71,10.81,2.17,0.4,3.7,,,,,,,,
09/15/2018 0140,7.91,10.81,2.26,0.41,4,,,,,,,,
09/15/2018 0240,8.16,11.43,2.2,0.37,3.6,,,,,,,,
09/15/2018 0340,8.4,10,2.33,0.32,3.6,,,,,,,,
09/15/2018 0440,8.09,13.79,1.97,0.32,4,,,,,,,,
09/15/2018 0540,8.24,10,2.06,0.3,4,,,,,,,,
09/15/2018 0640,8.51,10,2.05,0.28,3,,,,,,,,
09/15/2018 0740,8.31,10.81,1.85,0.25,4,,,,,,,,
09/15/2018 0840,8.58,9.09,2.01,0.22,3.7,,,,,,,,
09/15/2018 0940,8.88,10.81,1.97,0.22,4,,,,,,,,
09/15/2018 1040,8.63,10,2.06,0.22,3.6,,,,,,,,
09/15/2018 1140,8.75,10.81,2.28,0.23,4,,,,,,,,
09/15/2018 1240,8.62,10.81,2.03,0.23,3.7,,,,,,,,
09/15/2018 1340,8.67,10,2.22,0.25,4,,,,,,,,
09/15/2018 1440,8.63,10,2.39,0.38,4.5,,,,,,,,
09/15/2018 1540,8.45,13.79,2.31,0.29,2.9,,,,,,,,
09/15/2018 1640,8.62,12.12,2.19,0.32,3.8,,,,,,,,
09/15/2018 1740,8.46,12.9,2.15,0.38,3.7,,,,,,,,
09/15/2018 1840,8.07,12.12,2.01,0.49,4.5,,,,,,,,
09/15/2018 1940,8.05,12.9,2.01,0.6,5.3,,,,,,,,
09/15/2018 2040,8.31,13.79,2.08,0.55,4.8,,,,,,,,
09/15/2018 2140,8.2,12.9,2.14,0.62,4.3,,,,,,,,
09/15/2018 2240,7.45,12.9,2.06,0.78,3.8,,,,,,,,
09/15/2018 2340,7.28,12.12,2.01,0.89,6.7,,,,,,,,
09/16/2018 0040,6.53,12.12,1.8,0.94,4.3,,,,,,,,
09/16/2018 0140,7.48,12.9,2.15,0.86,4.5,,,,,,,,
09/16/2018 0240,7.15,11.43,1.96,0.86,5.6,,,,,,,,
09/16/2018 0340,6.98,12.9,1.99,0.75,4.8,,,,,,,,
09/16/2018 0440,7.24,11.43,2.08,0.74,5.3,,,,,,,,
09/16/2018 0540,7.43,11.43,2.1,0.59,4.8,,,,,,,,
09/16/2018 0640,7.49,14.81,2.23,0.66,4.8,,,,,,,,
09/16/2018 0740,7.12,10.81,2.11,0.68,5,,,,,,,,
09/16/2018 0840,7.44,13.79,2.12,0.84,4.5,,,,,,,,
09/16/2018 0940,7.33,11.43,2.15,1.01,4.5,,,,,,,,
09/16/2018 1040,6.98,10,2.14,0.69,4,,,,,,,,
09/16/2018 1140,7.25,9.09,2.28,0.91,4.5,,,,,,,,
09/16/2018 1240,7.32,13.79,2.46,1.31,6.7,,,,,,,,
09/16/2018 1340,6.96,9.09,2.33,1.13,5.3,,,,,,,,
09/16/2018 1440,6.82,12.12,2.23,1.12,5.3,,,,,,,,
09/16/2018 1540,6.9,9.09,2.29,1.07,5.9,,,,,,,,
09/16/2018 1640,6.9,11.43,2.41,1.19,5,,,,,,,,
09/16/2018 1740,6.53,11.43,2.15,1.03,5,,,,,,,,
09/16/2018 1840,6.69,12.9,2.35,1.2,4.8,,,,,,,,
09/16/2018 1940,6.56,12.9,2.37,1.21,5.9,,,,,,,,
09/16/2018 2040,6.5,11.43,2.16,0.85,4.8,,,,,,,,
09/16/2018 2140,6.57,10,2.35,1.04,5.6,,,,,,,,
09/16/2018 2240,6.29,10.81,2.15,1.17,5.9,,,,,,,,
09/16/2018 2340,6.32,8.33,1.98,1.31,5.9,,,,,,,,
09/17/2018 0040,6.57,10,2.16,1.24,5.9,,,,,,,,
09/17/2018 0140,6.59,12.9,1.95,1.16,5.9,,,,,,,,
09/17/2018 0240,6.31,9.09,1.95,1.2,6.2,,,,,,,,
09/17/2018 0340,6.19,7.14,1.8,1.1,5.6,,,,,,,,
09/17/2018 0440,6.14,7.14,1.81,0.9,4.3,,,,,,,,
09/17/2018 0540,6.47,10,1.81,0.78,4.2,,,,,,,,
09/17/2018 0640,6.2,7.69,1.81,0.94,5,,,,,,,,
09/17/2018 0740,6.23,12.12,1.79,0.69,4.8,,,,,,,,
09/17/2018 0840,6.04,9.09,1.59,0.47,4,,,,,,,,
09/17/2018 0940,6.39,7.14,1.81,0.47,3.8,,,,,,,,
09/17/2018 1040,6.63,11.43,1.89,0.46,3.7,,,,,,,,
09/17/2018 1140,6.45,12.12,1.87,0.48,4,,,,,,,,
09/17/2018 1240,6.66,8.33,1.84,0.47,4,,,,,,,,
09/17/2018 1340,6.45,10.81,1.78,0.48,3.8,,,,,,,,
09/17/2018 1440,6.69,7.14,1.88,0.41,3.6,,,,,,,,
09/17/2018 1540,6.71,7.69,1.91,0.62,4.5,,,,,,,,
09/17/2018 1640,6.71,12.12,1.67,0.56,4.8,,,,,,,,
09/17/2018 1740,6.47,11.43,1.67,0.95,5.9,,,,,,,,
09/17/2018 1840,6.29,10.81,1.66,0.85,5.3,,,,,,,,
09/17/2018 1940,6.46,11.43,1.7,0.66,5,,,,,,,,
09/17/2018 2040,6.25,10.81,1.66,0.61,4.5,,,,,,,,
09/17/2018 2140,6.25,8.33,1.6,0.54,3.6,,,,,,,,
