DateTime,WSPD1/A048E,WSPD11/A048E,WSPD12/A048E,WDIR1/A048E,,,,,,,,
08/19/2018 1610,5.2,5.66,6.01,233,,,,,,,,
08/19/2018 1620,5.1,5.55,5.89,236,,,,,,,,
08/19/2018 1630,4.8,5.22,5.54,236,,,,,,,,
08/19/2018 1640,4.8,5.22,5.54,239,,,,,,,,
08/19/2018 1650,4.8,5.22,5.54,238,,,,,,,,
08/19/2018 1700,4.6,5,5.3,233,,,,,,,,
08/19/2018 1710,4.7,5.11,5.42,239,,,,,,,,
08/19/2018 1720,4.6,5,5.3,232,,,,,,,,
08/19/2018 1730,5,5.44,5.77,234,,,,,,,,
08/19/2018 1740,5.1,5.55,5.89,242,,,,,,,,
08/19/2018 1750,5.4,5.88,6.24,248,,,,,,,,
08/19/2018 1800,5.5,5.99,6.36,247,,,,,,,,
08/19/2018 1810,5.2,5.66,6.01,249,,,,,,,,
08/19/2018 1820,5.2,5.66,6.01,251,,,,,,,,
08/19/2018 1830,5.1,5.55,5.89,246,,,,,,,,
08/19/2018 1840,5.2,5.66,6.01,250,,,,,,,,
08/19/2018 1850,4.9,5.33,5.65,252,,,,,,,,
08/19/2018 1900,4.8,5.22,5.54,247,,,,,,,,
08/19/2018 1910,5.2,5.66,6.01,241,,,,,,,,
08/19/2018 1920,5,5.44,5.77,236,,,,,,,,
08/19/2018 1930,5.3,5.77,6.13,233,,,,,,,,
08/19/2018 1940,4.9,5.33,5.65,233,,,,,,,,
08/19/2018 1950,4.8,5.22,5.54,232,,,,,,,,
08/19/2018 2000,4.7,5.11,5.42,230,,,,,,,,
08/19/2018 2010,4.7,5.11,5.42,233,,,,,,,,
08/19/2018 2020,4.9,5.33,5.65,234,,,,,,,,
08/19/2018 2030,4.9,5.33,5.65,236,,,,,,,,
08/19/2018 2040,4.9,5.33,5.65,237,,,,,,,,
08/19/2018 2050,4.8,5.22,5.54,236,,,,,,,,
08/19/2018 2100,4.8,5.22,5.54,236,,,,,,,,
08/19/2018 2110,4.9,5.33,5.65,232,,,,,,,,
08/19/2018 2120,5,5.44,5.77,229,,,,,,,,
08/19/2018 2130,5.1,5.55,5.89,237,,,,,,,,
08/19/2018 2140,4.9,5.33,5.65,236,,,,,,,,
08/19/2018 2150,4.9,5.33,5.65,237,,,,,,,,
08/19/2018 2200,4.6,5,5.3,238,,,,,,,,
08/19/2018 2210,4.9,5.33,5.65,244,,,,,,,,
08/19/2018 2220,5.1,5.55,5.89,239,,,,,,,,
08/19/2018 2230,4.8,5.22,5.54,236,,,,,,,,
08/19/2018 2240,4.8,5.22,5.54,234,,,,,,,,
08/19/2018 2250,4.6,5,5.3,241,,,,,,,,
08/19/2018 2300,4.8,5.22,5.54,241,,,,,,,,
08/19/2018 2310,4.6,5,5.3,233,,,,,,,,
08/19/2018 2320,4.6,5,5.3,232,,,,,,,,
08/19/2018 2330,4.6,5,5.3,239,,,,,,,,
08/19/2018 2340,4.8,5.22,5.54,241,,,,,,,,
08/19/2018 2350,4.8,5.22,5.54,234,,,,,,,,
08/20/2018 0000,5.1,5.55,5.89,236,,,,,,,,
08/20/2018 0010,5.3,5.77,6.13,244,,,,,,,,
08/20/2018 0020,4.9,5.33,5.65,250,,,,,,,,
08/20/2018 0030,4.5,4.89,5.18,242,,,,,,,,
08/20/2018 0040,4.6,5,5.3,234,,,,,,,,
08/20/2018 0050,4.2,4.56,4.83,236,,,,,,,,
08/20/2018 0100,4.4,4.78,5.07,237,,,,,,,,
08/20/2018 0110,4.3,4.67,4.95,237,,,,,,,,
08/20/2018 0120,4.4,4.78,5.07,234,,,,,,,,
08/20/2018 0130,4.4,4.78,5.07,237,,,,,,,,
08/20/2018 0140,4.3,4.67,4.95,231,,,,,,,,
08/20/2018 0150,4.5,4.89,5.18,232,,,,,,,,
